"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",142
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",9
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",14
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",141
"77","064","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",2
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",387
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",12
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",23
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",342
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",16
"77","072","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Scattered",1
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",362
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",4
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",27
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",314
"79","006","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",7
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",191
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",4
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",15
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",167
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",10
"79","011","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Scattered",1
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",113
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",3
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",12
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",105
"79","012","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",1
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",135
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",1
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",21
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",138
"79","014","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",1
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",395
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",5
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",1
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",49
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",400
"79","015","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",8
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",400
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",15
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",36
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",397
"79","016","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",5
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",443
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
