0180I Following is a set of records pertinent to the General Election held on Tuesday, November 6, 2012, originated at Suffolk County Board of Elections on January 16, 2013 at 10:35 AM
0064RPresident                               U     1051090218801
0044CGOODE, VIRGIL            CST 000491 1I 
0084E1032P0444000306              11 1 1 6000000100000000002000001190008014100310004
0084E1033P1356000857              11 4 6 2000400300000000001000004890023030400270006
0084E1034P1324000796              13 5 7 5000400100100010004000003410019037700460002
0084E1035P1333000887              11 2 6 2000400200100000006000003880014036900960007
0084E1036P1129000679              12 4 4 3000400700100020005000003310018027600330002
0084E1037P0942000598              11 2 6 2000000000000000004000102630026024600550003
0084E1038P1160000634              13 3 3 6000600000100000008000003070036023600330007
0084E1039P1756001214              11 1 1 6000700300400010004000005760034050800650012
0084E1040P1519000931              11 2 1 2000500300100040010000003440022044000980004
0084E1041P1751001098              13 5 7 5000400100300030007000005620039039500760008
0084E1042P0949000501              13 3 3 6000500000100000000000002680020017000300007
0084E1043P0869000561              13 5 4 3000000000200000005000002440017025300360004
0084E1044P0712000472              13 512 5000300100000000003000002370007019100290001
0084E1045P0416000288              13 3 7 5000100100200000002000001090010014100190003
0084E1046P1385000926              13 3 3 4000400100100000008000005330031027600650007
0084E1047P1325000828              11 2 6 2000300100300000010000004100029031400540004
0084E1048P0897000664              13 7 7 5000300000100000007000003440008023800600003
0084E1049P1061000701              13 3 7 5000400000300020001000103540023026100450007
0084E1050P0928000554              12 5 5 3000600000100000007000002700012021800370003
0084E1051P0611000440              13 3 7 5000400200000000001000001810016020800280000
0084E1052P0912000615              13 3 7 5000400000200010004000003090017023700350006
0084E1053P1149000665              13 3 3 4000300200000010006000103360019025800320007
0084E1054P0608000356              12 5 4 4000100000000000005000001460010016400290001
0084E1055P0724000442              12 3 4 3000000000000020004000002070013018400270005
0084E1056P1370000862              12 5 4 3000300000100000010000003550018041700560002
0084E1057P0205000126              13 711 5000200000000000000000000920002002300050002
0084E1058P1054000653              13 5 4 5000400100100000006000002790017030100420002
0084E1059P0442000293              12 5 4 3000100000000000001000001390011011900220000
0084E1060P1001000709              12 4 5 1000100000200010004000104150015023100360003
0084E1061P0610000443              12 4 5 1000100000100000002000001980006021200220001
0084E1062P0842000535              12 4 5 1000300000100020003000002790007019800370005
0084E1063P1616001165              11 2 6 2000100000300000012000004730026057800690003
0084E1064P1298000718              13 3 7 4000600700000000002000105060023014500240004
0084E1065P1292000781              11 2 6 4000400000100010006000003650022033800380006
0084E1066P0951000625              11 2 6 2000300000200000004000002870023024700510008
0084E1067P0718000506              13 3 3 4000100000100000001000102740016018400260002
0084E1068P1001000607              11 2 6 2000100000200020008000102600018027400400001
0084E1069P1045000728              13 3 7 5000300100200010008000003150019032800500001
0084E1070P1071000733              12 512 3000400000200000006000003230012034000420004
0084E1071P0950000578              12 5 4 3000000000000000008000002720009024900380002
0084E1072P1197000707              13 1 3 6000000000400000003000003680036025800350003
0084E1073P1617001182              11 1 3 6000300200000000008000004940021057400720008
0084E1074P1227000746              13 3 7 5001000000200010007000003720023026600560009
0084E1075P0649000399              12 4 4 3000100000000010005000002190008014100230001
0084E1076P1043000617              12 5 4 3000100200100020008000003050015023100490003
0084E1077P0797000537              13 5 4 5000400000100000005000002440021022300370002
0084E1078P1027000665              13 5 4 3000300000100010002000002900017030700440000
0084E1079P1616000956              13 3 3 6001100100500010008000004870049031900660009
0084E1080P1411000815              13 3 3 6003500200000010009000003770025031300520001
0084E1081P0679000415              13 512 5000100000100000004000101970010017900210001
0084E1082P1250000827              13 3 7 5000500000100000010000004430013029800510006
0084E1083P0843000485              12 5 5 3000500000000030005000002510010016700410003
0084E1084P0041000026              13 2 3 6000200000000000000000000090000001400010000
0084E1085P0249000170              13 3 4 4000100000000020002000000880004006400070002
0084E1086P0730000508              12 4 5 1000300000100000003000002610013020200210004
0084E1087P0962000671              12 4 5 1000100000200010003000003430012026900360004
0084E1088P0556000347              11 4 5 1000100000200010000000101960012011500160003
0084E1089P1411001036              12 4 5 1000900000000000006000004410016049900630002
0084E1090P0918000645              12 4 5 1001300000100010000000003280016024300400003
0084E1091P0625000446              11 4 5 1000200100000000003000202150010017900290005
0084E1092P1643001020              12 5 4 3000500200400020012000005300025037100650004
0084E1093P1034000779              11 2 1 2000900000000010006000003250011036500580004
0084E1094P0722000436              12 4 4 3000300100100000000000001970009020200210002
0084E1095P0873000587              12 4 5 1000200100300010005000003170013021000330002
0084E1096P0848000550              11 3 7 4000200100000010005000003250017016800270004
0084E1097P1384000859              11 3 7 4000800400200020009000005100030025500370002
0084E1098P1678001140              11 2 6 2000100100200020006000004580028054200900010
0084E1099P1387000908              12 4 4 3000200300000010010000004320015037800620005
0084E1100P1359000846              12 5 4 3000400000000020008000004060023034700530003
0084E1101P0948000679              12 4 5 1000100000100000008000004070020019900330010
0084E1102P1039000704              12 4 5 1000400000300000009000003230010029500560004
0084E1103P0721000517              13 7 7 5001000000200010005000002350020019400400010
0084E1104P1387000751              13 1 3 6000400400300010004000104250025024100370006
0084E1105P0578000413              12 512 3000500000100000006000101600005021100240000
0084E1106P0836000534              13 5 4 5000200000000010004000002330012023400460002
0084E1107P1124000721              13 5 8 5000100000000020006000002910014033400710002
0084E1108P0973000667              12 4 5 1000100000100000005000002830014032900330001
0084E1109P0838000538              12 4 4 3000200000000030008000002350017023300360004
0084E1110P1010000623              12 4 5 2000200000000010007000003270016023600300004
0084E1111P0963000674              12 4 5 1000600000000000004000003040011030300450001
0084E1112P0614000429              12 5 5 1000200100000010003000001810006020700280000
0084E1113P0321000204              11 3 1 6000100000100000001000000970002008200180002
0084E1114P0994000672              13 7 7 5000100000000000005000002830017030500570004
0084E1115P0755000507              13 3 7 5000200200000000002000002370012022100290002
0084E1116P1694001098              12 4 5 1000200300100020008000005480028044000620004
0084E1117P0651000491              11 4 5 1000300000000000001000001980002025400280005
0084E1118P0706000441              11 4 5 1000000100400000000000002200011016700360002
0084E1119P1021000678              13 3 7 5000200000200000009000002960017029500550002
0084E1120P1319001014              12 3 4 4000600200100010003000005190018040800530003
0084E1121P1609001107              12 4 5 1000100000000020005000004750015054800580003
0084E1122P1397000978              11 2 6 2000000100200000007000104020018047700680002
0084E1123P0782000574              13 3 3 4001000000100010002000003120017020200280001
0084E1124P1431000898              12 5 4 3000200000100000005000004080018039200680004
0084E1125P0908000519              12 5 4 3000400000100010007000002680011018900320006
0084E1126P1392000908              12 512 3000400100100010005000003540013045400720003
0084E1127P0780000453              12 4 4 3000000200100000004000002310014017100260004
0084E1128P1197000725              11 3 7 4001800100100000010000004260027020500350002
0084E1129P0803000566              12 4 5 1000000000100010005000102950007022200330001
0084E1130P0609000436              12 4 6 2000100000000000002000001960011019400280004
0084E1131P0758000512              13 3 7 5000200000200000005000002210010024000300002
0084E1132P1547000960              12 5 4 3000600600100020008000004180022040100900006
0084E1133P0896000604              12 3 4 4000500100000010003000002370013028500550004
0084E1134P1023000717              11 4 5 1000300200200000007000003440025027800490007
0084E1135P1311000886              11 2 6 2000200000000010010000003390024043700720001
0084E1136P1216000822              11 2 6 2000500100300010005000003290012040000660000
0084E1137P1378000813              11 4 3 4000300300000000000000007570017002700040002
0084E1138P2587001573              13 3 7 5000900300100020015000106630023074901030004
0084E1139P1992001060              13 3 3 6001700100500030010000005850032034200590006
0084E1140P1310000877              11 4 6 1000500000100010010000103540015041100760003
0084E1141P0929000590              11 2 1 6000300000000020004000002460013026800500004
0084E1142P1333000904              12 512 3000200000400000009000003580013045700590002
0084E1143P0876000578              11 4 6 1000100100000000008000002840011023100390003
0084E1144P0881000521              13 3 7 5000800100000000002000003190006014600360003
0084E1145P1219000723              13 5 4 4000200200200020006000003460020029700440002
0084E1146P0644000436              12 4 5 1000200000000000002000002160006018900200001
0084E1147P1902001202              12 4 5 2000400100000010002000006390021046000660008
0084E1148P1155000844              12 4 5 1000300100100020007000204140015034400490006
0084E1149P0841000516              13 3 7 4000200000200000001000003020010016100350003
0084E1150P0945000588              13 3 3 4000700200000000004000003160010022000260003
0084E1151P0983000730              11 1 2 6000100100300010005000002790009038300450003
0084E1152P1719001054              12 5 4 3000000100000020021000005080031040700760008
0084E1153P0785000535              11 2 6 2000500000000000003000002750014019500360007
0084E1154P0864000647              11 1 1 6000100000000020005000002330013033000590004
0084E1155P0807000528              13 7 7 5000400100000010003000002700014019200360007
0084E1156P0963000571              13 3 3 6000100000100010002000002620032023100380003
0084E1157P2214001357              12 3 4 4001200400100030014000106290044055300890007
0084E1158P0635000438              12 512 3000100000000000002000001930008019800350001
0084E1159P1262000816              11 2 6 2000300000400010010000003770028034300400010
0084E1160P1230000689              13 1 3 6001800300200000008000103350022025600400004
0084E1161P0839000610              12 4 5 1002200000100000006000102830014024600320005
0084E1162P0534000336              12 5 4 3000500000100000003000001810010011200240000
0084E1163P1013000666              12 4 5 1000000100300010005000003150014028000430004
0084E1164P1378000880              13 5 8 5000400100200010007000003950022038800550005
0084E1165P1191000800              12 4 5 1000600100100000008000003840010034500390006
0084E1166P1651001124              12 4 5 1000100000400010004000005770020045000630004
0084E1167P0753000580              11 2 6 2000300100200030000000002410006027800450001
0084E1168P0874000605              11 4 6 2000200000000000003000003240013021800370008
0084E1169P1782001186              11 4 6 2000200300100000006000006830021040700630000
0084E1170P0737000528              12 4 5 1000300000100010002000002210005026500280002
0084E1171P0873000637              13 7 7 5000300000000030005000102980012026700450003
0084E1172P0426000257              13 512 3000000000000000003000001230005010700170002
0084E1173P0741000532              13 3 7 5000000000000000004000002250007025500380003
0084E1174P1003000676              13 5 4 5000600100100000007000003130016029000370005
0084E1175P1093000684              12 5 4 3000300300200010004000003190012029300420005
0084E1176P0993000642              13 5 4 3000100000000000005000002630014031200440003
0084E1177P0657000510              12 4 5 1000600000000000002000003030008016200250004
0084E1178P0870000597              11 4 5 1000800000000010006000002850015024700310004
0084E1179P1824001145              12 5 4 3000500200300000006000004910018054000790001
0084E1180P1072000711              12 4 4 3000300200000000005000003320022030300420002
0084E1181P0384000305              11 2 6 2000100000000000000000001200003016500150001
0084E1182P0108000077              11 4 6 2000000000000000001000000260000004600040000
0084E1183P0606000406              13 5 4 5000300200100020006000001680016017200350001
0084E1184P0961000501              11 1 3 6000300000100020008000002670026015300340007
0084E1185P0566000354              11 2 6 2000000000100000004000001750008015500100001
0084E1186P0795000513              13 5 7 4000100000100000003000002100017024600310004
0084E1187P1269000788              11 2 6 2000200000200010012000104020025028600490008
0084E1188P1009000759              11 2 6 2001400000100010006000003370016031800630003
0084E1189P1289000786              11 2 6 2000200000500000005000004120028027400540006
0084E1190P0681000512              11 2 6 2000100000000000002000102540006019800460004
0084E1191P0565000388              12 4 5 1000200000100000002000001980004016600140001
0084E1192P1455000956              11 3 3 4000300100000010007000005980028025700580003
0084E1193P1302000926              11 2 1 2000200000100000003000003680016042501040007
0084E1194P0650000449              13 3 7 4000000000000000003000002380010017200240002
0084E1195P0957000679              11 2 6 2000100000200010007000002700011034800370002
0084E1196P1367000920              13 3 7 5000000200300030006000004260016039100700003
0084E1197P0397000303              11 2 6 2000400100100000000000001250000013600350001
0084E1198P0881000677              11 2 6 4002300100100020000000002520004034700470000
0084E1199P0487000332              11 2 6 4000000100000000002000001590005014600190000
0084E1200P0999000625              11 4 7 4000100200000000000000005540018004000090001
0084E1201P1767001273              11 4 6 2000100200000000002000105210012063800930003
0084E1202P0663000412              11 4 6 2000500000300010003000002170016013900250003
0084E1203P0653000426              11 2 1 6000400000100000003000001770015017600490001
0084E1204P1018000521              13 1 3 6000600000100000005000002520019020400300004
0084E1205P1382000866              11 4 5 1000400000100000009000004180030034700500007
0084E1206P0957000673              12 4 4 3000400200300000004000003200012028000460002
0084E1207P0876000525              11 1 3 6000500300000010001000003130036014300210002
0084E1208P1331000754              11 1 3 6000200000000000006000004270020024500520002
0084E1209P0986000610              12 4 5 2000100000000000011000003290010022500310003
0084E1210P0723000562              12 3 4 4000800100100000003000002870013021000360003
0084E1211P0930000603              13 5 7 5000400000000000003000002720019025400480003
0084E1212P0375000258              11 2 5 1000000000000000002000001100002012000240000
0084E1213P0671000448              11 3 3 4000200100100000002000001900011021000290002
0084E1214P0717000490              13 3 7 5000500200100010000000002200012021100350003
0084E1215P0823000464              13 1 3 6000400200000000002000002150010020400230004
0084E1216P2067001519              11 2 6 2000700100200000006000006390017075000940003
0084E1217P0275000172              13 5 7 5000100000000000003000000780010007400050001
0084E1218P0735000472              12 3 7 4000200000200000002000003010007014100170000
0084E1219P0552000342              12 512 3000000000100010002000001440007015200320003
0084E1220P0238000152              11 2 6 2000100000100000002000000720001006400110000
0084E1221P0264000180              12 512 3000000000100000002000000760004008000170000
0084E1222P0469000311              13 512 3000300000000000007000001490007011700260002
0084E1223P1349000813              12 4 5 1001200000100020018000006560009010300030009
0084E1224P0589000442              11 4 5 1000000000300000007000002430013015100240001
0084E1225P0984000746              11 4 5 1000000100200010007000004640012021800300011
0084E1226P0457000325              11 4 5 1000200000300000004000001430007012800340004
0084E1227P1659001016              11 2 1 6001700100000000009000004080022048300740002
0084E1228P0751000526              13 3 3 4000500000100030004000002180006024800400001
0084E1229P0950000522              13 3 3 6000200400000010002000102980018016200320002
0084E1230P1113000724              12 5 4 3000200000000010003000003090011035200440002
0084E1231P0659000378              13 512 5000000000100000005000002050006013200270002
0084E1232P0742000469              12 3 4 3000200000100000002000002190011020400280002
0084E1233P0690000512              12 4 5 1000600000000000006000102480009021500270000
0084E1234P1548000895              13 3 3 4000600300300010003000006460016017700370003
0084E1235P0758000482              13 3 7 5000500000200000003000102040015020900380005
0084E1236P0805000581              11 2 6 2000200000100000002000102010012031400410007
0084E1237P1220000792              12 4 4 3000500000200010002000004020014031200510003
0084E1238P0748000486              13 5 4 5000100100000000006000001990011022300430002
0084E1239P1010000717              11 4 5 1000100100300010010000003350014029600530003
0084E1240P0786000496              13 3 7 5000000000000000003000002180016021300450001
0084E1241P1081000691              12 3 4 4000200300000000003000003550011027900340004
0084E1242P1230000730              12 5 4 3000000100000020003000103680016028300530003
0084E1243P0891000579              12 4 6 2000100100100020000000003810013015900190002
0084E1244P0458000285              13 5 4 3000000000000000002000001070004013800340000
0084E1245P1642001121              11 4 6 2001100000000020010000003990024059200800003
0084E1246P0887000562              13 3 7 5000300100200010002000003100014019800300001
0084E1247P1182000703              13 3 7 4000100200200020003000003570027025400530002
0084E1248P0765000521              11 2 6 2000000000000000005000002730013020100260003
0084E1249P3087001693              13 3 3 6000300200200010012000108050044070701140002
0084E1250P0948000568              12 4 4 3000700200300000005000002560015023800400002
0084E1251P0958000699              12 4 5 1007600000400010003000003100015025500350000
0084E1252P1206000789              11 4 6 2000200100100010005000004350019025800650002
0084E1253P0931000561              11 3 3 4000200000300000004000102990016020200310003
0084E1254P0902000541              13 3 7 5000100000000000008000002800016018900450002
0084E1255P0968000595              11 2 6 4000700000000010006000002630011027000330004
0084E1256P1924001239              11 3 6 4000200300600000012000006600026044700790004
0084E1257P0907000578              11 4 6 2000200000100000008000103140023019500310003
0084E1258P0636000395              11 4 6 2001200000200000003000002160008013100200003
0084E1259P0519000372              12 3 4 4000300000100010004000101890012014300170001
0084E1260P0815000517              11 2 6 2000100000100000000000002460012021300440000
0084E1261P0404000295              12 4 7 4000400000000010000000001570007010600190001
0084E1262P0766000467              12 3 4 3000100100100000006000002610022014200310002
0084E1263P1788001289              11 2 6 2000200000100000014000005030022063001130004
0084E1264P1600001027              11 2 1 6000300300300010007000204260017046700940004
0084E1265P2796001847              11 1 1 6000400100200000007000006380033099001680004
0084E1266P0983000556              13 3 3 4000400100300010005000002840023019600380001
0084E1267P0806000517              11 2 6 2000400000000010009000001970007025700410001
0084E1268P1168000706              13 1 3 6000400000200000005000003430032027800400002
0084E1269P0822000516              11 3 3 4000200000000000002000002950013017800230003
0084E1270P0882000745              11 2 6 2000600100000000002000002650002041400550000
0084E1271P0783000514              13 5 7 5000200100100000001000002230006023800380004
0084E1272P0989000705              11 1 1 6000200100000000006000102750018034100560005
0084E1273P0973000561              13 1 3 4000400000200000003000002780019020900410005
0084E1274P0770000472              11 1 3 6000100000300000006000102300015019600190001
0084E1275P0884000562              11 3 3 4000100000000000005000003100008019500370006
0084E1276P0248000174              12 4 4 4000000000000000003000000920003006300110002
0084E1277P0418000219              13 3 3 4000300100000010001000001330007006500050003
0084E1278P0037000015              13 3 3 6000000000000000000000000120000000200010000
0084E1279P0796000570              11 1 1 6000000000100000001000003270011019900280003
0084E1280P0003000011              11 3 1 6000000000000000000000000050000000600000000
0084E1281P0128000093              13 2 1 6000000000000000000000000420006004000050000
0084E1282P0014000005              13 512 3000000000000000000000000030000000100010000
0084E1283P1321000781              13 3 1 6000200000100030006000204330020026200520000
0084E1284P1148000921              11 2 6 4000000100100000005000104060012042300690003
0084E1285P1051000617              11 1 3 6000100000100000006000003210021022400400003
0084E1286P1061000741              11 2 6 2000000000100000006000003030012037100460002
0084E1287P0980000552              11 1 3 6000200500100010001000003540015014400270002
0084E1288P0935000609              11 4 6 1000000000100010006000002680010028200390002
0084E1289P0930000586              13 3 3 4000200000100000005000003820023014000320001
0084E1290P1298000930              11 1 1 6000400000200010011000003880016042900740005
0084E1291P1142000600              11 3 3 6000300200000000007000003260022019500420003
0084E1292P0909000620              12 4 5 1000300100000000005000002880007027800370001
0084E1293P0675000430              11 2 6 2000200000100010002000002160004017900250000
0084E1294P0873000551              13 5 7 4000000000000020006000002430009025900310001
0084E1295P0000000000              13 3 7 5000000000000000000000000000000000000000000
0084E2001P0837000602              351018  000500000000000003000001550002041300210003
0084E2002P0935000609              351018  000000100000010001000002430004032000380001
0084E2003P0941000693              351018  000200000000020005000003370017028100440005
0084E2004P0774000564              351018  000100000100020003000002640005025400300004
0084E2005P0500000376              351018  000100000000000000000002100006014100160002
0084E2006P0835000613              351018  000600200100000006000103790021015900300008
0084E2007P0450000316              351018  000100100000000003000001830006010000180004
0084E2008P0994000688              351218  000300000000000004000002990012032100460003
0084E2009P0949000623              351018  000700000000000001000004650011011800180003
0084E2010P0846000558              351018  000400000100010005000103550020014500240002
0084E2011P0646000368              351017  000300100000010002000002600018006900130001
0084E2012P0441000290              351017  000200200000000002000101490009010500170003
0084E2013P0736000534              351218  001100000200000002000002250007024600400001
0084E2014P1227000867              351216  000600000100010009000104150009038000410004
0084E2015P0585000415              351218  000100000000000000000002030009018500150002
0084E2016P1156000847              351218  000200000200000006000104280017034500430003
0084E2017P1016000741              351213  000100200100000007000003360006033300490006
0084E2018P0711000529              321213  000100000000010003000002590009022500230008
0084E2019P0839000549              321218  000200100000000001000002500010023100510003
0084E2020P0892000607              351218  000400300200000004000002340002031300390006
0084E2021P0758000518              321216  000000000000000003000002240007025900240001
0084E2022P1017000654              351017  000200000000010005000002730010031400470002
0084E2023P0726000517              351017  000300300200000007000002580008019600400000
0084E2024P0616000466              351218  000100100100010004000002350006018100330003
0084E2025P0674000456              351018  000100100000000002000002600009015400230006
0084E2026P0520000304              351018  000100000000000000000002580005003600030001
0084E2027P0705000419              351017  000100100000000002000002350014014300180005
0084E2028P0934000647              321016  000200000200010004000003270012024800480003
0084E2029P1039000619              351018  000300100100000009000003790016018100250004
0084E2030P0875000616              351018  000100000200000002000102910008027700310003
0084E2031P0965000676              351016  000000000100000003000003390014026700450007
0084E2032P0648000441              351018  000400000000000005000001770004021900310001
0084E2033P0628000428              351017  000100100000000002000001510001024500270000
0084E2034P0409000244              351017  000100000000010002000001150007010000160002
0084E2035P0767000545              321218  000200000000000004000002320013025200360006
0084E2036P0901000604              351016  000200000100000003000002640009029900220004
0084E2037P0735000528              351018  000000000200000007000002330006026800100002
0084E2038P0956000705              351218  000400000100000002000003280008032200390001
0084E2039P0868000586              321218  000400100000000001000002260011028600560001
0084E2040P1013000704              351218  000100100000000002000003040021031700560002
0084E2041P1969001501              321016  000600100200000000000007510006068000540001
0084E2042P0857000582              351017  000000200000000003000102850018023400370002
0084E2043P0920000663              351218  000100000200010003000003340004027400410003
0084E2044P0193000138              351216  000000000000000001000000680003005900070000
0084E2045P0861000573              351018  000100000400000006000001700004036500200003
0084E2046P0976000657              351018  000400000000000008000004220018018000190006
0084E2047P0465000351              351218  000100000000000002000001290007018600240002
0084E2048P0702000456              351017  000200000000000000000001640003024900380000
0084E2049P0684000488              351017  000200000000010002000002290014021400240002
0084E2050P0821000583              321213  000200000000000003000102500009028000380000
0084E2051P0813000589              351216  000000000000000001000002430007029400440000
0084E2052P0995000648              351016  000200100000010010000002480003033000530000
0084E2053P0820000578              351017  000000200000020001000003410012019300260001
0084E2054P0709000448              351017  000500000000000002000003390014007100170000
0084E2055P1035000729              351218  000100000100010002000002670008039900480002
0084E2056P0691000478              351017  000400000100000001000102320006020500260002
0084E2057P0508000333              321218  000500000000000002000001230010016800230002
0084E2058P0763000547              351017  005100000000000000000002300012021600350003
0084E2059P1142000720              351017  000000000000010003000005540017012800130004
0084E2060P1549001049              321213  000300000400020008000004740018047100640005
0084E2061P0587000433              351017  000400000100000001000001870009019900310001
0084E2062P0683000452              351017  000300100200010001000002070010019900250003
0084E2063P0185000127              351018  000100000000000002000000640001004800100001
0084E2064P0592000398              351018  000100000000000000000001500000021600300001
0084E2065P0650000474              351218  000400000200000004000102370010018200310003
0084E2066P0980000706              321218  000200000100000006000003120011031600510007
0084E2067P1093000699              321218  000200000000010001000003180020030700480002
0084E2068P1010000701              351218  000300000000000002000002750010035000580003
0084E2069P1133000748              351218  000500100100010002000003730005033000290001
0084E2070P0625000418              351017  000100200100000000000002370010015100150001
0084E2071P1023000607              351017  000100000200050008000103870020014800310004
0084E2072P0926000656              351017  000300000000000006000103020006028200510005
0084E2073P0539000384              351018  000200100000000002000001860006016400220001
0084E2074P1039000732              321213  000300000000030006000102780010038200480001
0084E2075P0787000496              321218  000100000300000007000002120010022100390003
0084E2076P1096000732              351016  000100000000010003000002940006037600490002
0084E2077P0835000544              351216  000100100100000003000002290012024500470005
0084E2078P1166000691              351016  000100000200000003000003310008031900260001
0084E2079P0517000355              351017  000100000000000001000001530008015900310002
0084E2080P0193000145              351218  000100000200000001000000680003006300070000
0084E2081P0955000687              351218  000300000200010004000003010009031900450003
0084E2082P0823000543              351016  000400100000000001000002480014024100340000
0084E2083P0700000492              351016  000200100000000002000002170011022800290002
0084E2084P0990000719              351216  000100000200000005000002990007034500570003
0084E2085P0240000158              351017  001100100000000001000001310002000800040000
0084E2086P0526000365              351213  000100000000010003000001410004018600280001
0084E2087P0672000463              351218  000300100000000006000002070004020400370001
0084E2088P0556000378              351017  000300100100000002000001600004017000330004
0084E2089P0260000197              351018  000000000000000003000000660000012200060000
0084E2090P0715000529              351218  000100100000000001000002970008019200280001
0084E2091P0910000603              351016  000500000000000004000002610006029800270002
0084E2092P0586000412              351017  000300000000000006000002270007014200230004
0084E2093P0663000496              351218  000300100000000003000002530011018200370006
0084E2094P0827000594              351017  000500200200000001000003250007022600260000
0084E2095P0542000372              351216  000100100100000002000001680006016800240001
0084E2096P0650000426              351017  000300000000010007000002140008017600160001
0084E2097P0992000674              351218  000100100200000008000002610014033700470003
0084E2098P1256000857              351016  002500100000000001000003360009045500230007
0084E2099P0674000471              351218  000400000300000002000002060005022400260001
0084E2100P1111000742              321216  000000000000000004000003300012035500410000
0084E2101P1583001061              351017  000400100300000009000004800009050400460005
0084E2102P1166000775              351016  000500000600000009000003120008038300510001
0084E2103P0854000559              351218  000300100000000002000002570014025700240001
0084E2104P0738000481              351018  000400100100000002000002850012015600190001
0084E2105P0327000212              351016  000100000000000000000000990001009800130000
0084E2106P0529000358              351218  000100000000000002000001450003018000260001
0084E2107P1035000708              321016  001100000100000006000003780010026500350002
0084E2108P0883000606              351216  000000000200010006000002390013030500380002
0084E2109P1330000900              321017  000800000100000003000004830006037200270000
0084E2110P0723000529              351018  001000000000000001000001960005027700390001
0084E2111P0515000360              351218  000000000100000004000001640003017000170001
0084E2112P1536001034              351016  000400200100010005000004300014050400660007
0084E2113P0937000698              351218  000200000200000008000002530011036400560002
0084E2114P1111000724              321016  000100000100010003000004370018022400360003
0084E2115P0355000211              321218  000000000000000001000001010004009000150000
0084E2116P0615000421              351218  000100000000000000000001710003020500370004
0084E2117P0604000387              351218  000000000000000005000001690008018100240000
0084E2118P0666000401              321216  000400200000010001000001710007018500290001
0084E2119P1103000725              351018  000100000100010005000002600004041400360003
0084E2120P0798000597              321216  000100000300020005000002790003028000180006
0084E2121P0718000509              351017  000200100000010009000002550009020500260001
0084E2122P0763000569              321218  000700000000000003000102190011028400420002
0084E2123P1072000681              351017  000300100100020003000104220007020500320004
0084E2124P0849000605              351218  000300000200020002000002260005033300290003
0084E2125P1328000868              321016  000200100000010004000004060006041800270003
0084E2126P0662000469              351218  000200100000000002000101960007023100290000
0084E2127P0892000626              351213  001300000000010003000002460005030900490000
0084E2128P0829000600              351018  000200000000000003000002660008028800310002
0084E2129P0776000573              351218  000100000200010001000002230011029100420001
0084E2130P0713000523              321218  000100000100000005000002540010020900390004
