Wayne County Board of Elections Official Canvas by position,General Election on 11/4/2014,([cTown]=13),,,,,,,,,,,,,
Combo128,Text95,cPos,Text124,cLName,cboxParty,cboxTown,town,cDist,cVoteCount,cEmergencyCount,Text91,Text76,cBlanksVoidsCount,TotRow,
,,,,PROP ONE YES,NO PARTY,8,Ontario,4,129,0,2,,0,131,
,,,,PROP ONE YES,NO PARTY,8,Ontario,5,185,0,10,,0,195,
,,,,PROP ONE YES,NO PARTY,8,Ontario,6,300,0,15,,0,315,
,,,,,,,,,1491,0,57,,0,Text105:,1548
,,,,PROP ONE YES,NO PARTY,9,Palmyra,1,145,0,11,,0,156,
,,,,PROP ONE YES,NO PARTY,9,Palmyra,2,159,0,4,,0,163,
,,,,PROP ONE YES,NO PARTY,9,Palmyra,3,145,0,7,,0,152,
,,,,PROP ONE YES,NO PARTY,9,Palmyra,4,200,0,8,,0,208,
,,,,PROP ONE YES,NO PARTY,9,Palmyra,5,182,0,8,,0,190,
,,,,PROP ONE YES,NO PARTY,9,Palmyra,6,148,0,10,,0,158,
,,,,,,,,,979,0,48,,0,Text105:,1027
,,,,PROP ONE YES,NO PARTY,10,Rose,1,124,0,5,,0,129,
,,,,PROP ONE YES,NO PARTY,10,Rose,2,142,0,9,,0,151,
,,,,,,,,,266,0,14,,0,Text105:,280
,,,,PROP ONE YES,NO PARTY,11,Savannah,1,72,0,6,,0,78,
,,,,PROP ONE YES,NO PARTY,11,Savannah,2,77,0,8,,0,85,
,,,,,,,,,149,0,14,,0,Text105:,163
,,,,PROP ONE YES,NO PARTY,12,Sodus,1,156,0,19,,0,175,
,,,,PROP ONE YES,NO PARTY,12,Sodus,2,160,0,10,,0,170,
,,,,PROP ONE YES,NO PARTY,12,Sodus,3,156,0,13,,0,169,
,,,,PROP ONE YES,NO PARTY,12,Sodus,4,142,0,12,,0,154,
,,,,PROP ONE YES,NO PARTY,12,Sodus,5,147,0,7,,0,154,
,,,,PROP ONE YES,NO PARTY,12,Sodus,6,193,0,17,,0,210,
,,,,,,,,,954,0,78,,0,Text105:,1032
,,,,PROP ONE YES,NO PARTY,13,Walworth,1,194,0,8,,0,202,
,,,,PROP ONE YES,NO PARTY,13,Walworth,2,502,0,10,,0,512,
,,,,PROP ONE YES,NO PARTY,13,Walworth,3,294,0,5,,0,299,
,,,,PROP ONE YES,NO PARTY,13,Walworth,4,229,0,11,,0,240,
,,,,PROP ONE YES,NO PARTY,13,Walworth,5,205,0,20,,0,225,
,,,,,,,,,1424,0,54,,0,Text105:,1478
,,,,PROP ONE YES,NO PARTY,14,Williamson,1,133,0,6,,0,139,
,,,,PROP ONE YES,NO PARTY,14,Williamson,2,259,0,12,,0,271,
,,,,PROP ONE YES,NO PARTY,14,Williamson,3,308,0,7,,0,315,
,,,,PROP ONE YES,NO PARTY,14,Williamson,4,121,21,6,,0,148,
,,,,PROP ONE YES,NO PARTY,14,Williamson,5,210,0,8,,0,218,
,,,,,,,,,1031,21,39,,0,Text105:,1091
,,,,PROP ONE YES,NO PARTY,15,Wolcott,1,91,0,9,,0,100,
,,,,PROP ONE YES,NO PARTY,15,Wolcott,2,59,0,0,,0,59,
,,,,PROP ONE YES,NO PARTY,15,Wolcott,3,110,0,7,,0,117,
,,,,PROP ONE YES,NO PARTY,15,Wolcott,4,125,0,9,,0,134,
,,,,,,,,,385,0,25,,0,Text105:,410
,,,,,,,,,,,,,,Text81:,12199
,,B16,PROP ONE   * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,,,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,1,195,0,7,,0,202,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,2,195,0,8,,0,203,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,3,90,0,9,,0,99,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,4,77,0,15,,0,92,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,5,91,0,7,,0,98,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,6,137,0,15,,0,152,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,7,103,0,15,,0,118,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,8,65,0,2,,0,67,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,9,110,0,3,,0,113,
,,,,PROP ONE NO,NO PARTY,1,Arcadia,10,158,0,10,,0,168,
,,,,,,,,,1221,0,91,,0,Text105:,1312
,,,,PROP ONE NO,NO PARTY,2,Butler,1,208,0,7,,0,215,
,,,,,,,,,208,0,7,,0,Text105:,215
,,,,PROP ONE NO,NO PARTY,3,Galen,1,95,0,4,,0,99,
,,,,PROP ONE NO,NO PARTY,3,Galen,2,112,0,8,,0,120,
,,,,PROP ONE NO,NO PARTY,3,Galen,3,107,0,8,,0,115,
,,,,PROP ONE NO,NO PARTY,3,Galen,4,79,0,4,,0,83,
,,,,,,,,,393,0,24,,0,Text105:,417
,,,,PROP ONE NO,NO PARTY,4,Huron,1,110,0,14,,0,124,
,,,,PROP ONE NO,NO PARTY,4,Huron,2,161,0,7,,0,168,
,,,,,,,,,271,0,21,,0,Text105:,292
,,,,PROP ONE NO,NO PARTY,5,Lyons,1,91,0,8,,0,99,
,,,,PROP ONE NO,NO PARTY,5,Lyons,2,76,0,6,,0,82,
,,,,PROP ONE NO,NO PARTY,5,Lyons,3,101,0,8,,0,109,
,,,,PROP ONE NO,NO PARTY,5,Lyons,4,89,0,6,,0,95,
,,,,PROP ONE NO,NO PARTY,5,Lyons,5,98,0,6,,0,104,
,,,,,,,,,455,0,34,,0,Text105:,489
,,,,PROP ONE NO,NO PARTY,6,Macedon,1,157,0,13,,0,170,
,,,,PROP ONE NO,NO PARTY,6,Macedon,2,256,0,4,,0,260,
,,,,PROP ONE NO,NO PARTY,6,Macedon,3,240,0,19,,0,259,
,,,,PROP ONE NO,NO PARTY,6,Macedon,4,163,0,5,,0,168,
,,,,PROP ONE NO,NO PARTY,6,Macedon,5,151,0,8,,0,159,
,,,,,,,,,967,0,49,,0,Text105:,1016
,,,,PROP ONE NO,NO PARTY,7,Marion,1,148,0,1,,0,149,
,,,,PROP ONE NO,NO PARTY,7,Marion,2,103,0,6,,0,109,
,,,,PROP ONE NO,NO PARTY,7,Marion,3,162,0,9,,0,171,
,,,,PROP ONE NO,NO PARTY,7,Marion,4,159,0,6,,0,165,
,,,,,,,,,572,0,22,,0,Text105:,594
,,,,PROP ONE NO,NO PARTY,8,Ontario,1,182,0,8,,0,190,
,,,,PROP ONE NO,NO PARTY,8,Ontario,2,290,0,9,,0,299,
,,,,PROP ONE NO,NO PARTY,8,Ontario,3,247,0,9,,0,256,
,,,,PROP ONE NO,NO PARTY,8,Ontario,4,138,0,7,,0,145,
,,,,PROP ONE NO,NO PARTY,8,Ontario,5,166,0,3,,0,169,
,,,,PROP ONE NO,NO PARTY,8,Ontario,6,287,0,17,,0,304,
,,,,,,,,,1310,0,53,,0,Text105:,1363
,,,,PROP ONE NO,NO PARTY,9,Palmyra,1,122,0,1,,0,123,
,,,,PROP ONE NO,NO PARTY,9,Palmyra,2,119,0,12,,0,131,
,,,,PROP ONE NO,NO PARTY,9,Palmyra,3,81,0,4,,0,85,
,,,,PROP ONE NO,NO PARTY,9,Palmyra,4,157,0,7,,0,164,
,,,,PROP ONE NO,NO PARTY,9,Palmyra,5,172,0,8,,0,180,
,,,,PROP ONE NO,NO PARTY,9,Palmyra,6,133,0,6,,0,139,
,,,,,,,,,784,0,38,,0,Text105:,822
,,,,PROP ONE NO,NO PARTY,10,Rose,1,136,0,10,,0,146,
,,,,PROP ONE NO,NO PARTY,10,Rose,2,157,0,7,,0,164,
,,,,,,,,,293,0,17,,0,Text105:,310
,,,,PROP ONE NO,NO PARTY,11,Savannah,1,85,0,7,,0,92,
,,,,PROP ONE NO,NO PARTY,11,Savannah,2,115,0,5,,0,120,
,,,,,,,,,200,0,12,,0,Text105:,212
,,,,PROP ONE NO,NO PARTY,12,Sodus,1,110,0,9,,0,119,
,,,,PROP ONE NO,NO PARTY,12,Sodus,2,118,0,4,,0,122,
,,,,PROP ONE NO,NO PARTY,12,Sodus,3,119,0,7,,0,126,
,,,,PROP ONE NO,NO PARTY,12,Sodus,4,176,0,5,,0,181,
,,,,PROP ONE NO,NO PARTY,12,Sodus,5,116,0,10,,0,126,
,,,,PROP ONE NO,NO PARTY,12,Sodus,6,150,0,4,,0,154,
,,,,,,,,,789,0,39,,0,Text105:,828
,,,,PROP ONE NO,NO PARTY,13,Walworth,1,213,0,3,,0,216,
,,,,PROP ONE NO,NO PARTY,13,Walworth,2,339,0,13,,0,352,
,,,,PROP ONE NO,NO PARTY,13,Walworth,3,237,0,9,,0,246,
,,,,PROP ONE NO,NO PARTY,13,Walworth,4,172,0,3,,0,175,
,,,,PROP ONE NO,NO PARTY,13,Walworth,5,192,0,13,,0,205,
,,,,,,,,,1153,0,41,,0,Text105:,1194
,,,,PROP ONE NO,NO PARTY,14,Williamson,1,114,0,3,,0,117,
,,,,PROP ONE NO,NO PARTY,14,Williamson,2,211,0,5,,0,216,
,,,,PROP ONE NO,NO PARTY,14,Williamson,3,239,0,10,,0,249,
,,,,PROP ONE NO,NO PARTY,14,Williamson,4,106,12,4,,0,122,
,,,,PROP ONE NO,NO PARTY,14,Williamson,5,226,0,11,,0,237,
,,,,,,,,,896,12,33,,0,Text105:,941
,,,,PROP ONE NO,NO PARTY,15,Wolcott,1,89,0,7,,0,96,
,,,,PROP ONE NO,NO PARTY,15,Wolcott,2,47,0,1,,0,48,
,,,,PROP ONE NO,NO PARTY,15,Wolcott,3,118,0,6,,0,124,
,,,,PROP ONE NO,NO PARTY,15,Wolcott,4,142,0,9,,0,151,
,,,,,,,,,396,0,23,,0,Text105:,419
,,,,,,,,,,,,,,Text81:,10424
,,C16,PROP ONE   * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,,,
,,,,PROP ONE,NO PARTY,1,Arcadia,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,4,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,5,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,6,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,7,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,8,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,9,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,1,Arcadia,10,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,2,Butler,1,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,3,Galen,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,3,Galen,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,3,Galen,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,3,Galen,4,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,4,Huron,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,4,Huron,2,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,5,Lyons,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,5,Lyons,2,0,0,1,,0,1,
,,,,PROP ONE,NO PARTY,5,Lyons,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,5,Lyons,4,0,0,1,,0,1,
,,,,PROP ONE,NO PARTY,5,Lyons,5,0,0,0,,0,0,
,,,,,,,,,0,0,2,,0,Text105:,2
,,,,PROP ONE,NO PARTY,6,Macedon,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,6,Macedon,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,6,Macedon,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,6,Macedon,4,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,6,Macedon,5,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,7,Marion,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,7,Marion,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,7,Marion,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,7,Marion,4,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,8,Ontario,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,8,Ontario,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,8,Ontario,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,8,Ontario,4,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,8,Ontario,5,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,8,Ontario,6,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,9,Palmyra,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,9,Palmyra,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,9,Palmyra,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,9,Palmyra,4,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,9,Palmyra,5,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,9,Palmyra,6,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,10,Rose,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,10,Rose,2,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,11,Savannah,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,11,Savannah,2,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,12,Sodus,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,12,Sodus,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,12,Sodus,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,12,Sodus,4,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,12,Sodus,5,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,12,Sodus,6,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,PROP ONE,NO PARTY,13,Walworth,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,13,Walworth,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,13,Walworth,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,13,Walworth,4,0,0,1,,0,1,
,,,,PROP ONE,NO PARTY,13,Walworth,5,0,0,0,,0,0,
,,,,,,,,,0,0,1,,0,Text105:,1
,,,,PROP ONE,NO PARTY,14,Williamson,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,14,Williamson,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,14,Williamson,3,1,0,0,,0,1,
,,,,PROP ONE,NO PARTY,14,Williamson,4,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,14,Williamson,5,0,0,0,,0,0,
,,,,,,,,,1,0,0,,0,Text105:,1
,,,,PROP ONE,NO PARTY,15,Wolcott,1,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,15,Wolcott,2,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,15,Wolcott,3,0,0,0,,0,0,
,,,,PROP ONE,NO PARTY,15,Wolcott,4,0,0,0,,0,0,
,,,,,,,,,0,0,0,,0,Text105:,0
,,,,,,,,,,,,,,Text81:,4
,,D16,PROP ONE   * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,,,
,,,,PROP ONE,NO PARTY,1,Arcadia,1,54,0,4,,0,58,
,,,,PROP ONE,NO PARTY,1,Arcadia,2,41,0,5,,0,46,
,,,,PROP ONE,NO PARTY,1,Arcadia,3,37,0,7,,0,44,
,,,,PROP ONE,NO PARTY,1,Arcadia,4,21,0,9,,0,30,
,,,,PROP ONE,NO PARTY,1,Arcadia,5,27,0,7,,0,34,
,,,,PROP ONE,NO PARTY,1,Arcadia,6,115,0,7,,0,122,
,,,,PROP ONE,NO PARTY,1,Arcadia,7,36,0,2,,0,38,
,,,,PROP ONE,NO PARTY,1,Arcadia,8,27,0,3,,0,30,
,,,,PROP ONE,NO PARTY,1,Arcadia,9,52,0,1,,0,53,
,,,,PROP ONE,NO PARTY,1,Arcadia,10,38,0,8,,0,46,
,,,,,,,,,448,0,53,,0,Text105:,501
,,,,PROP ONE,NO PARTY,2,Butler,1,56,0,10,,0,66,
,,,,,,,,,56,0,10,,0,Text105:,66
,,,,PROP ONE,NO PARTY,3,Galen,1,24,0,3,,0,27,
,,,,PROP ONE,NO PARTY,3,Galen,2,29,0,2,,0,31,
,,,,PROP ONE,NO PARTY,3,Galen,3,27,0,1,,0,28,
,,,,PROP ONE,NO PARTY,3,Galen,4,24,0,2,,0,26,
,,,,,,,,,104,0,8,,0,Text105:,112
,,,,PROP ONE,NO PARTY,4,Huron,1,21,0,1,,0,22,
,,,,PROP ONE,NO PARTY,4,Huron,2,23,0,4,,0,27,
,,,,,,,,,44,0,5,,0,Text105:,49
,,,,PROP ONE,NO PARTY,5,Lyons,1,39,0,5,,0,44,
,,,,PROP ONE,NO PARTY,5,Lyons,2,24,0,6,,0,30,
,,,,PROP ONE,NO PARTY,5,Lyons,3,39,0,4,,0,43,
,,,,PROP ONE,NO PARTY,5,Lyons,4,30,0,2,,0,32,
,,,,PROP ONE,NO PARTY,5,Lyons,5,28,0,3,,0,31,
,,,,,,,,,160,0,20,,0,Text105:,180
,,,,PROP ONE,NO PARTY,6,Macedon,1,48,0,4,,0,52,
,,,,PROP ONE,NO PARTY,6,Macedon,2,75,0,1,,0,76,
,,,,PROP ONE,NO PARTY,6,Macedon,3,59,0,9,,0,68,
,,,,PROP ONE,NO PARTY,6,Macedon,4,42,0,1,,0,43,
,,,,PROP ONE,NO PARTY,6,Macedon,5,55,0,2,,0,57,
,,,,,,,,,279,0,17,,0,Text105:,296
,,,,PROP ONE,NO PARTY,7,Marion,1,34,0,3,,0,37,
,,,,PROP ONE,NO PARTY,7,Marion,2,49,0,1,,0,50,
,,,,PROP ONE,NO PARTY,7,Marion,3,62,0,2,,0,64,
,,,,PROP ONE,NO PARTY,7,Marion,4,41,0,1,,0,42,
,,,,,,,,,186,0,7,,0,Text105:,193
,,,,PROP ONE,NO PARTY,8,Ontario,1,50,0,1,,0,51,
,,,,PROP ONE,NO PARTY,8,Ontario,2,63,0,2,,0,65,
,,,,PROP ONE,NO PARTY,8,Ontario,3,55,0,5,,0,60,
,,,,PROP ONE,NO PARTY,8,Ontario,4,29,0,2,,0,31,
,,,,PROP ONE,NO PARTY,8,Ontario,5,45,0,2,,0,47,
,,,,PROP ONE,NO PARTY,8,Ontario,6,110,0,2,,0,112,
,,,,,,,,,352,0,14,,0,Text105:,366
,,,,PROP ONE,NO PARTY,9,Palmyra,1,25,0,2,,0,27,
,,,,PROP ONE,NO PARTY,9,Palmyra,2,36,0,2,,0,38,
,,,,PROP ONE,NO PARTY,9,Palmyra,3,32,0,0,,0,32,
,,,,PROP ONE,NO PARTY,9,Palmyra,4,30,0,1,,0,31,
,,,,PROP ONE,NO PARTY,9,Palmyra,5,45,0,1,,0,46,
,,,,PROP ONE,NO PARTY,9,Palmyra,6,24,0,0,,0,24,
,,,,,,,,,192,0,6,,0,Text105:,198
,,,,PROP ONE,NO PARTY,10,Rose,1,47,0,3,,0,50,
,,,,PROP ONE,NO PARTY,10,Rose,2,38,0,2,,0,40,
,,,,,,,,,85,0,5,,0,Text105:,90
,,,,PROP ONE,NO PARTY,11,Savannah,1,19,0,5,,0,24,
,,,,PROP ONE,NO PARTY,11,Savannah,2,24,0,1,,0,25,
,,,,,,,,,43,0,6,,0,Text105:,49
,,,,PROP ONE,NO PARTY,12,Sodus,1,41,0,3,,0,44,
,,,,PROP ONE,NO PARTY,12,Sodus,2,48,0,3,,0,51,
,,,,PROP ONE,NO PARTY,12,Sodus,3,18,0,1,,0,19,
,,,,PROP ONE,NO PARTY,12,Sodus,4,45,0,3,,0,48,
,,,,PROP ONE,NO PARTY,12,Sodus,5,26,0,2,,0,28,
,,,,PROP ONE,NO PARTY,12,Sodus,6,31,0,2,,0,33,
,,,,,,,,,209,0,14,,0,Text105:,223
,,,,PROP ONE,NO PARTY,13,Walworth,1,48,0,4,,0,52,
,,,,PROP ONE,NO PARTY,13,Walworth,2,75,0,5,,0,80,
,,,,PROP ONE,NO PARTY,13,Walworth,3,61,0,5,,0,66,
,,,,PROP ONE,NO PARTY,13,Walworth,4,45,0,0,,0,45,
,,,,PROP ONE,NO PARTY,13,Walworth,5,32,0,1,,0,33,
,,,,,,,,,261,0,15,,0,Text105:,276
,,,,PROP ONE,NO PARTY,14,Williamson,1,32,0,2,,0,34,
,,,,PROP ONE,NO PARTY,14,Williamson,2,45,0,3,,0,48,
,,,,PROP ONE,NO PARTY,14,Williamson,3,50,0,1,,0,51,
,,,,PROP ONE,NO PARTY,14,Williamson,4,65,14,3,,0,82,
,,,,PROP ONE,NO PARTY,14,Williamson,5,32,0,1,,0,33,
,,,,,,,,,224,14,10,,0,Text105:,248
,,,,PROP ONE,NO PARTY,15,Wolcott,1,33,0,0,,0,33,
,,,,PROP ONE,NO PARTY,15,Wolcott,2,8,0,0,,0,8,
,,,,PROP ONE,NO PARTY,15,Wolcott,3,36,0,3,,0,39,
,,,,PROP ONE,NO PARTY,15,Wolcott,4,25,0,7,,0,32,
,,,,,,,,,102,0,10,,0,Text105:,112
,,,,,,,,,,,,,,Text81:,2959
,17,,,,,,,,,,,,,,
,,A17,PROP TWO   * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,,,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,1,316,0,12,,0,328,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,2,294,0,16,,0,310,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,3,180,0,16,,0,196,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,4,153,0,23,,0,176,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,5,154,0,17,,0,171,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,6,262,0,23,,0,285,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,7,229,0,36,,0,265,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,8,125,0,8,,0,133,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,9,179,0,9,,0,188,
,,,,PROP TWO YES,NO PARTY,1,Arcadia,10,251,0,14,,0,265,
,,,,,,,,,2143,0,174,,0,Text105:,2317
,,,,PROP TWO YES,NO PARTY,2,Butler,1,240,0,15,,0,255,
,,,,,,,,,240,0,15,,0,Text105:,255
,,,,PROP TWO YES,NO PARTY,3,Galen,1,145,0,3,,0,148,
,,,,PROP TWO YES,NO PARTY,3,Galen,2,156,0,10,,0,166,
,,,,PROP TWO YES,NO PARTY,3,Galen,3,163,0,9,,0,172,
,,,,PROP TWO YES,NO PARTY,3,Galen,4,144,0,7,,0,151,
,,,,,,,,,608,0,29,,0,Text105:,637
,,,,PROP TWO YES,NO PARTY,4,Huron,1,190,0,17,,0,207,
,,,,PROP TWO YES,NO PARTY,4,Huron,2,214,0,9,,0,223,
,,,,,,,,,404,0,26,,0,Text105:,430
