0177I Following is a set of records pertinent to the Presidential Primary held on Tuesday, April 24, 2012, originated at Suffolk County Board of Elections on July 3, 2012 at 1:13 PM
0064RPresident of The United States          U     1047030102801
0044CGINGRICH, NEWT           REP 001908 1B 
0044CPAUL, RON                REP 002171 1A 
0044CROMNEY, MITT             REP 013084 1C 
0044CSANTORUM, RICK           REP 000852 1D 
0068E1114P0364000014              13 3 7 500-20000000000000300100003
0068E1115P0268000018              13 3 7 500-20000000002000100170000
0068E1116P0543000014              12 4 5 100-10000000004000200080001
0068E1117P0280000020              11 4 5 100000000000002000400130001
0068E1118P0232000018              11 4 5 100-20000000000000300160001
0068E1119P0383000028              13 3 7 500-30000000002000600220001
0068E1120P0480000077              12 3 4 400-90000000007000100730005
0068E1121P0581000021              12 4 5 100000000000000000200170002
0068E1122P0540000021              11 1 6 200000000000002000100180000
0068E1123P0273000017              13 3 3 400-20000000005000200110001
0068E1124P0590000021              12 5 4 300-10000000004000200140002
0068E1125P0288000008              12 3 4 300-30000000003000300050000
0068E1126P0568000035              12 712 300-20000000004000200290002
0068E1127P0311000007              12 4 4 300000000000000000100060000
0068E1128P0248000010              11 3 7 400-50000000006000200060001
0068E1129P0248000013              12 4 5 100-20000000000000400090002
0068E1130P0207000016              11 4 6 200-20000000000000600120000
0068E1131P0276000017              13 3 7 500-20000000003000100140001
0068E1132P0383000013              12 5 4 300-10000000001000700060000
0068E1133P0307000009              12 3 4 400-30000000001000000090002
0068E1134P0340000021              11 4 5 100-20000000003000100180001
0068E1135P0542000028              11 1 6 200-20000000003000300230001
0068E1136P0446000029              11 1 6 200-40000000003000800220000
0068E1137P0216000006              11 3 3 400010000000000000200020001
0068E1138P0523000016              13 3 7 500000000000000000100150000
0068E1139P0255000014              13 2 3 600-20000000002000500070002
0068E1140P0470000022              11 4 6 100-10000000004000300140002
0068E1141P0446000025              11 1 1 600-20000000003000400170003
0068E1142P0485000033              12 412 300-10000000004000500230002
0068E1143P0335000019              11 4 6 100000000000002000100160000
0068E1144P0256000007              13 3 7 500-60000000005000000080000
0068E1145P0162000006              13 5 4 400000000000000000200040000
0068E1146P0190000009              12 4 5 100-10000000001000200070000
0068E1147P0577000029              12 4 5 200-10000000003000100240002
0068E1148P0385000028              12 4 5 100-20000000001000200240003
0068E1149P0252000013              13 3 7 400-20000000002000100100002
0068E1150P0307000005              13 3 3 400-30000000002000100040001
0068E1151P0444000031              11 2 2 600-10000000004000300220003
0068E1152P0404000029              12 4 4 300-10000000001001400140001
0068E1153P0209000014              11 1 6 200000000000001000100090003
0068E1154P0382000032              11 2 1 600000000000001000300250003
0068E1155P0205000011              13 3 7 500-30000000002000100110000
0068E1156P0302000011              11 3 3 600-10000000000000500060001
0068E1157P0485000022              12 3 4 400-30000000001000400160004
0068E1158P0216000009              12 412 300-40000000002000400070000
0068E1159P0439000029              11 1 6 200-10000000001000600230000
0068E1160P0388000020              13 2 3 600-30000000003000700120001
0068E1161P0285000011              12 4 5 100000000000002000000090000
0068E1162P0428000027              12 4 4 300-30000000001000700200002
0068E1163P0326000013              12 4 5 100000000000002000400070000
0068E1164P0514000024              13 5 8 500-20000000001000300210001
0068E1165P0322000015              12 4 5 100000000000001000300110000
0068E1166P0580000036              12 4 5 100-50000000004000300320002
0068E1167P0343000080              11 1 6 200-40000000007000400660007
0068E1168P0252000015              11 4 6 200-10000000003000000120001
0068E1169P0496000030              11 1 6 200-40000000002000400260002
0068E1170P0310000013              12 4 5 100000000000000000000130000
0068E1171P0328000023              13 3 7 500-20000000005000000180002
0068E1172P0132000007              12 512 300000000000001000500010000
0068E1173P0311000027              13 3 7 500-20000000002000500200002
0068E1174P0356000022              13 5 4 500-10000000002000100190001
0068E1175P0409000034              12 5 4 300-10000000008000300220002
0068E1176P0455000031              12 5 4 300-70000000004000300300001
0068E1177P0181000012              12 4 5 100-20000000001000500080000
0068E1178P0300000023              11 4 5 100-30000000001000300200002
0068E1179P0572000033              12 5 4 300-10000000003000600250000
0068E1180P0367000018              12 4 4 300-10000000002000200130002
0068E1181P0173000050              11 1 6 200-40000000005000200450002
0068E1182P0410000035              11 4 6 200000000000008000600200001
0068E1183P0241000006              13 5 4 500-20000000000000200060000
0068E1184P0301000005              11 2 3 600-10000000001000000050000
0068E1185P0318000028              11 1 6 200000000000003000400190002
0068E1186P0293000009              13 5 7 400-10000000001000000080001
0068E1187P0397000022              11 1 6 200000000000003000800100001
0068E1188P0390000019              11 1 6 200-30000000003000000180001
0068E1189P0391000019              11 1 6 200-10000000005000200120001
0068E1190P0221000015              11 1 6 200-20000000001000200120002
0068E1191P0221000017              12 4 5 100-10000000001000000170000
0068E1192P0374000018              11 3 3 400-50000000001000600100006
0068E1193P0483000030              11 1 1 200-10000000004000200210004
0068E1194P0216000010              13 3 7 400-20000000002000100070002
0068E1195P0369000029              11 1 6 200000000000006000200200001
0068E1196P0523000022              13 3 7 500-60000000002000500180003
0068E1197P0178000046              11 1 6 200-50000000007000000420002
0068E1198P0386000088              11 1 6 400-80000000008000500770006
0068E1199P0389000019              11 1 6 400-40000000004000600120001
0068E1200P0296000016              11 3 7 400-10000000002000100110003
0068E1201P0620000039              11 4 6 200-60000000004000500360000
0068E1202P0160000008              11 4 6 200-10000000002000200050000
0068E1203P0277000019              11 1 1 600-10000000004000400120000
0068E1204P0389000022              13 2 3 600-20000000001000600170000
0068E1205P0334000014              11 4 5 100000000000000000100120001
0068E1206P0491000030              11 4 4 300-50000000000000300280004
0068E1207P0218000008              11 2 3 600-10000000001000300020003
0068E1208P0381000018              11 2 3 600-30000000002000300120004
0068E1209P0281000013              12 4 5 200000000000003000300070000
0068E1210P0251000031              11 3 4 400-20000000003000100260003
0068E1211P0362000016              13 3 7 500-30000000002000500110001
0068E1212P0472000025              11 4 5 100-20000000000000100260000
0068E1213P0275000015              11 1 3 400-20000000003000300110000
0068E1214P0281000014              13 3 7 500-20000000002000100110002
0068E1215P0436000018              13 2 3 600000000000000000600120000
0068E1216P0955000040              11 1 6 200-60000000002000300350006
0068E1217P0082000003              11 3 7 400000000000000000100020000
0068E1218P0217000010              11 3 7 400-20000000003000200070000
0068E1219P0152000014              12 712 300000000000001000100120000
0068E1220P0075000002              11 1 6 200-20000000001000000030000
0068E1221P0092000005              12 412 300000000000001000000040000
0068E1222P0174000008              12 712 300-10010000002000000050001
0068E1223P0119000002              12 4 5 10-250020000004000500150001
0068E1224P0177000017              11 4 5 100-10000000005000200090002
0068E1225P0287000022              11 4 5 100-20000000001000400180001
0068E1226P0159000009              11 4 5 100-30000000002000000100000
0068E1227P0608000037              11 1 1 600-50000000004000400300004
0068E1228P0283000007              13 1 3 400-80000000002000300080002
0068E1229P0297000014              13 2 3 600-10000000003000000110001
0068E1230P0438000018              12 5 4 300-20000000002000100170000
0068E1231P0198000007              13 512 500-20000000002000100050001
0068E1232P0276000005              12 3 4 300-10000000000000200030001
0068E1233P0227000024              12 4 5 100-10000000001000600180000
0068E1234P0338000008              13 3 3 400000000000001000000060001
0068E1235P0358000015              13 3 7 500000000000002000300090001
0068E1236P0321000013              11 1 6 200000000000001000500070000
0068E1237P0424000011              12 4 4 30-120000000002000100170003
0068E1238P0295000011              13 5 4 500000000000001000300070000
0068E1239P0366000036              11 4 5 100-20000000003000200310002
0068E1240P0279000019              13 3 7 500-10000000002000200150001
0068E1241P0365000020              12 3 4 400-30000000004000100170001
0068E1242P0209000002              12 3 4 300000000000000000100010000
0068E1243P0263000005              11 3 6 200000000000001000100030000
0068E1244P0396000016              12 5 4 300-10000000003000100130000
0068E1245P0634000025              11 4 6 200-60000000003000100250002
0068E1246P0288000026              13 3 7 500-20000000001000500190003
0068E1247P0355000014              13 3 7 400-10000000002000100110001
0068E1248P0264000012              11 1 6 200-10000000001000300070002
0068E1249P0553000014              11 3 3 600-10000000000000300110001
0068E1250P0101000010              12 4 4 300-20000000002000200050003
0068E1251P0335000028              12 4 5 10-180000000004000300310008
0068E1252P0299000009              11 4 6 200000000000001000100070000
0068E1253P0269000006              11 3 3 400-30000000002000000070000
0068E1254P0284000009              13 3 7 500-50000000001000100110001
0068E1255P0368000014              11 1 6 400000000000004000200050003
0068E1256P0458000023              11 1 6 400-20000000003000700150000
0068E1257P0270000008              11 4 6 200-20000000004000200030001
0068E1258P0165000006              11 4 6 200-30000000000000100070001
0068E1259P0163000017              11 3 4 400-20000000001000600120000
0068E1260P0319000016              11 1 6 200000000000002000200120000
0068E1261P0019000001              11 3 4 300000000000000000000000001
0068E1262P0179000009              12 3 4 300-20000000001000100090000
0068E1263P0345000023              11 1 6 200-50000000003000000250000
0068E1264P0597000034              11 1 1 600-30000000003000400300000
