0171I Following is a set of records pertinent to the Federal Primary held on Tuesday, June 26, 2012, originated at Suffolk County Board of Elections on July 3, 2012 at 1:06 PM
0064RUnited States Senator                   N   0 1051029866001
0044CLONG, WENDY              REP 005404 1A 
0064E1053P0350000010              13 3 3 40000000000000600010003
0064E1054P0229000003              12 5 4 400-4000000000400010002
0064E1055P0272000003              12 3 4 300-1000000000200000002
0064E1056P0539000021              12 5 4 300-2000000000900020012
0064E1057P0050000003              13 711 50000000000000300000000
0064E1058P0389000020              13 5 4 50003000000000900040004
0064E1059P0167000005              12 5 4 300-1000000000200030001
0064E1060P0265000017              12 4 5 10004000000000600020005
0064E1061P0213000019              12 4 5 100-1000000000800080004
0064E1062P0276000011              12 4 5 10000000001000500010004
0064E1063P0614000015              11 2 6 20001000000001100000003
0064E1064P0290000006              13 3 7 400-1001000000200020002
0064E1065P0445000029              11 2 6 40000000000001300050011
0064E1066P0337000012              11 2 6 20001000000000700000004
0064E1067P0282000022              13 3 3 400-1000000001400020007
0064E1068P0369000012              11 2 6 20000000000000400020006
0064E1069P0371000016              13 3 7 50003000000000500030005
0064E1070P0383000017              12 512 30000000000000300030011
0064E1071P0316000012              12 5 4 30000000000000500020005
0064E1072P0392000012              13 1 3 600-2000000000800020004
0064E1073P0658000028              11 1 3 600-3000000001100070013
0064E1074P0401000010              13 3 7 500-1000000000500010005
0064E1075P0212000010              12 4 4 300-1000000000600030002
0064E1076P0349000010              12 5 4 30000000000000400020004
0064E1077P0287000010              13 5 4 500-1000000000500040002
0064E1078P0401000021              13 5 4 30001000000001200020006
0064E1079P0493000030              13 3 3 60001000000001400080007
0064E1080P0438000014              13 3 3 600-1000000000900020004
0064E1081P0221000006              13 512 500-2000000000400030001
0064E1082P0394000022              13 3 7 500-6000000001200070009
0064E1083P0279000019              12 5 5 30000000000001600010002
0064E1084P0013000000              13 2 3 60000000000000000000000
0064E1085P0070000001              13 3 4 400-4000000000200010002
0064E1086P0235000017              12 4 5 10000000000000600050006
0064E1087P0343000013              12 4 5 10000000000000200000011
0064E1088P0166000010              11 4 5 10000000000000400010005
0064E1089P0504000015              12 4 5 100-3000000000900030006
0064E1090P0345000021              12 4 5 100-5000000001300040009
0064E1091P0236000007              11 4 5 100-2000000000400040001
0064E1092P0514000026              12 5 4 300-1000000001900010007
0064E1093P0416000020              11 2 1 200-1001000000700020011
0064E1094P0287000013              12 4 4 30000000000001200000001
0064E1095P0244000013              12 4 5 100-1000000000600010007
0064E1096P0247000006              11 3 7 40000000000000600000000
0064E1097P0393000007              11 3 7 400-1000000000300040001
0064E1098P0670000023              11 2 6 20001001001001200020006
0064E1099P0493000020              12 4 4 300-1000000001200050004
0064E1100P0456000013              12 5 4 30000000000000500010007
0064E1101P0243000009              12 4 5 100-2000000000300050003
0064E1102P0374000019              12 4 5 100-6000000000900040012
0064E1103P0249000022              13 7 7 50002000000001200040004
0064E1104P0404000014              13 1 3 600-2002001000400030006
0064E1105P0227000009              12 512 30000000000000600020001
0064E1106P0284000015              13 5 4 50003000000000800000004
0064E1107P0400000007              13 5 8 50000000000000000030004
0064E1108P0344000011              12 4 5 100-1000000000800020002
0064E1109P0311000019              12 4 4 30000000000001000060003
0064E1110P0303000011              12 4 5 20001000000000500020003
0064E1111P0343000021              12 4 5 100-2000000001100070005
0064E1112P0229000019              12 5 5 100-4002000000800060007
0064E1113P0107000004              11 3 1 600-2000000000300030000
0064E1114P0352000010              13 7 7 500-1000000000500030003
0064E1115P0272000011              13 3 7 50000000000000400000007
0064E1116P0544000011              12 4 5 100-2000000000800010004
0064E1117P0283000017              11 4 5 10001000000000600040006
0064E1118P0232000016              11 4 5 10001000000000600040005
0064E1119P0390000010              13 3 7 500-1000000000600020003
0064E1120P0487000068              12 3 4 400-1000000002100220026
0064E1121P0588000016              12 4 5 10003000000000500050003
0064E1122P0537000018              11 2 6 200-1000000001500020002
0064E1123P0271000009              13 3 3 400-2000000000400030004
0064E1124P0546000019              12 5 4 30000000000001300010005
0064E1125P0296000009              12 5 4 300-2000000000500000006
0064E1126P0553000031              12 512 300-1000000001500070010
0064E1127P0274000011              12 4 4 30001000000000500010004
0064E1128P0329000009              11 3 7 40003000000000400010001
0064E1129P0254000007              12 4 5 100-2000000000600010002
0064E1130P0203000021              12 4 6 20000000000001000040007
0064E1131P0275000008              13 3 7 50000000000000400010003
0064E1132P0544000009              12 5 4 300-2000000000400040003
0064E1133P0308000007              12 3 4 400-1000000000000030005
0064E1134P0347000020              11 4 5 10000000000000900050006
0064E1135P0536000025              11 2 6 200-1001000001300060006
0064E1136P0445000025              11 2 6 20000000000001500020008
0064E1137P0155000006              11 4 3 40001000000000400000001
0064E1138P0999000021              13 3 7 500-7000000000700080013
0064E1139P0576000023              13 3 3 600-1000000001300040007
0064E1140P0476000017              11 4 6 10001000000000800030005
0064E1141P0447000019              11 2 1 60003001000000700020006
0064E1142P0489000020              12 512 30000000000000900050006
0064E1143P0339000010              11 4 6 10001000000000700020000
0064E1144P0259000008              13 3 7 500-3000000000600030002
0064E1145P0409000012              13 5 4 40002000000000400020004
0064E1146P0191000007              12 4 5 10002001000000100010002
0064E1147P0576000027              12 4 5 20000000000001600060005
0064E1148P0395000017              12 4 5 100-1000000000400070007
0064E1149P0251000006              13 3 7 400-4000000000400030003
0064E1150P0313000003              13 3 3 400-1000000000300000001
0064E1151P0447000031              11 1 2 60002000000001300100006
0064E1152P0581000033              12 5 4 300-7000000002600060008
0064E1153P0211000010              11 2 6 20001000000000300000006
0064E1154P0368000017              11 1 1 60002000000000900020004
0064E1155P0285000010              13 7 7 500-3000000000600020005
0064E1156P0296000009              13 3 3 600-1002000000300020003
0064E1157P0772000027              12 3 4 400-2000000001600040009
0064E1158P0211000014              12 512 300-3000000000600090002
0064E1159P0434000017              11 2 6 200-2000000001600000003
0064E1160P0380000009              13 1 3 600-4000000000700010005
0064E1161P0284000008              12 4 5 10000000000000400010003
0064E1162P0174000008              12 5 4 300-2000000000400010005
0064E1163P0326000009              12 4 5 10000001000000400020002
0064E1164P0514000017              13 5 8 500-2000000001000050004
0064E1165P0393000011              12 4 5 100-1000000000400020006
0064E1166P0586000031              12 4 5 100-2000000001400120007
0064E1167P0342000078              11 2 6 200-4001000001600460019
0064E1168P0273000012              11 4 6 20000000000000800020002
0064E1169P0532000017              11 4 6 200-3000000001400030003
0064E1170P0311000018              12 4 5 10000000000000700050006
0064E1171P0329000012              13 7 7 50000000000000600040002
0064E1172P0130000004              13 512 30000000000000000010003
0064E1173P0317000022              13 3 7 50001000000000900050007
0064E1174P0352000021              13 5 4 50001000000001300040003
0064E1175P0412000024              12 5 4 30003000000001200050004
0064E1176P0332000015              13 5 4 300-4000000001100030005
0064E1177P0184000012              12 4 5 10002000000000300030004
0064E1178P0304000011              11 4 5 100-1000000000700020003
0064E1179P0697000031              12 5 4 30000000000001400090008
0064E1180P0371000012              12 4 4 300-1001000000900010002
0064E1181P0169000043              11 2 6 20000001000001400200008
0064E1182P0053000000              11 4 6 20000000000000000000000
0064E1183P0243000006              13 5 4 500-2000000000200040002
0064E1184P0282000004              11 1 3 600-1000000000500000000
0064E1185P0172000006              11 2 6 20000000000000400000002
0064E1186P0298000005              13 5 7 400-1001000000000020003
0064E1187P0393000016              11 2 6 20003000000000600020005
0064E1188P0388000026              11 2 6 20002000000001400040006
0064E1189P0387000009              11 2 6 200-1000000000800010001
0064E1190P0224000016              11 2 6 20000000000001000050001
0064E1191P0222000010              12 4 5 10000000000000500030002
0064E1192P0449000018              11 3 3 400-4000000001300030006
0064E1193P0479000019              11 2 1 20000000000000800050006
0064E1194P0214000011              13 3 7 40003000000000300020003
0064E1195P0361000018              11 2 6 20001000000000500060006
0064E1196P0525000018              13 3 7 500-4000000001200060004
0064E1197P0177000047              11 2 6 200-7000000001400250015
0064E1198P0382000081              11 2 6 400-3001000003700110035
0064E1199P0196000010              11 2 6 400-2000000000500010006
0064E1200P0145000005              11 4 7 400-2000000000400010002
0064E1201P0666000025              11 4 6 200-2000000001400070006
0064E1202P0163000005              11 4 6 20000000000000200010002
0064E1203P0257000018              11 2 1 60000000000000900040005
0064E1204P0349000013              13 1 3 600-1000000000700020005
0064E1205P0453000014              11 4 5 100-1000000000800010006
0064E1206P0343000022              12 4 4 30000000000000900030010
0064E1207P0224000005              11 1 3 60000000000000200020001
0064E1208P0359000014              11 1 3 600-3001000000800050003
0064E1209P0285000010              12 4 5 20000000000000600010003
0064E1210P0251000022              12 3 4 400-4001000000900050011
0064E1211P0354000016              13 5 7 500-1000000001000050002
0064E1212P0145000008              11 2 5 10000000000000600000002
0064E1213P0272000013              11 3 3 40000000000000400060003
0064E1214P0287000012              13 3 7 500-3000000000600050004
0064E1215P0268000011              13 1 3 600-1000000000200030007
0064E1216P0822000015              11 2 6 200-2000000000400060007
0064E1217P0099000002              13 5 7 50000000000000100000001
0064E1218P0172000007              12 3 7 400-1000000000300030002
0064E1219P0150000007              12 512 300-2000000000300010005
0064E1220P0075000002              11 2 6 200-2000000000200010001
0064E1221P0092000003              12 512 30000000000000200000001
0064E1222P0174000006              13 512 30001000000000100010003
0064E1223P0117000000              12 4 5 10-19002000000500050007
0064E1224P0177000008              11 4 5 100-1000000000500040000
0064E1225P0291000020              11 4 5 100-1000000000800060007
0064E1226P0160000009              11 4 5 100-1000000000600010003
0064E1227P0588000020              11 2 1 60000001000000500060008
0064E1228P0273000001              13 3 3 400-1000000000100000001
0064E1229P0298000004              13 3 3 600-2000000000300030000
0064E1230P0441000016              12 5 4 300-1000000000800010008
0064E1231P0197000005              13 512 500-2000000000300030001
0064E1232P0279000015              12 3 4 30002000001000600010005
0064E1233P0230000018              12 4 5 10000000000000900030006
0064E1234P0340000004              13 3 3 40000000000000100000003
0064E1235P0260000013              13 3 7 50003000000000400030003
0064E1236P0318000018              11 2 6 20001001000000800050003
0064E1237P0427000011              12 4 4 300-8002000000500020010
0064E1238P0299000011              13 5 4 50001000000000800010001
0064E1239P0345000012              11 4 5 10000000000000700030002
0064E1240P0286000011              13 3 7 500-1001000000500040002
0064E1241P0362000020              12 3 4 400-2001000001300050003
0064E1242P0405000001              12 5 4 30000000000000000010000
0064E1243P0197000006              12 4 6 20000000000000300020001
0064E1244P0161000010              13 5 4 30000000000000700010002
0064E1245P0648000013              11 4 6 200-1000000000300050006
0064E1246P0286000010              13 3 7 50000000000000500020003
0064E1247P0357000009              13 3 7 40002000000000200030002
0064E1248P0265000018              11 2 6 200-1000000000900020008
0064E1249P1018000023              13 3 3 600-5000000000900060013
0064E1250P0346000013              12 4 4 300-3001000000600040005
0064E1251P0336000014              12 4 5 10-11001000001400010009
0064E1252P0362000005              11 4 6 20000000000000400010000
0064E1253P0275000009              11 3 3 400-2000000000300050003
0064E1254P0287000005              13 3 7 500-4000000000300040002
0064E1255P0364000007              11 2 6 40000000000000300010003
0064E1256P0621000026              11 3 6 40000000000001500060005
0064E1257P0274000009              11 4 6 200-2001000000600040000
0064E1258P0173000005              11 4 6 200-1000000000400010001
0064E1259P0164000016              12 3 4 400-2000000001100030004
0064E1260P0317000011              11 2 6 20000000000000400050002
0064E1261P0137000009              12 4 7 40001000001000300030001
0064E1262P0237000005              12 3 4 30000000000000200000003
0064E1263P0700000045              11 2 6 200-2000000003000030014
0064E1264P0590000027              11 2 1 600-2000000001100080010
0064E1265P1123000037              11 1 1 60001000000002100050010
0064E1266P0294000010              13 3 3 400-1000000000500050001
0064E1267P0338000018              11 2 6 200-1001000001100030004
0064E1268P0432000021              13 1 3 60002000001000800050005
0064E1269P0243000006              11 3 3 40000000000000500000001
0064E1270P0447000110              11 2 6 200-4000000005100210042
0064E1271P0284000004              13 5 7 50000000000000100000003
0064E1272P0387000015              11 1 1 60000000000000600020007
0064E1273P0302000017              13 1 3 400-1000000001000020006
0064E1274P0228000005              11 1 3 600-2000000000400010002
0064E1275P0248000007              11 3 3 40000000000000400020001
0064E1276P0083000000              12 4 4 40000000000000000000000
0064E1277P0140000005              13 3 3 40001000000000200020000
0064E1278P0007000000              13 3 3 60000000000000000000000
0064E1279P0201000006              11 1 1 60001000000000200000003
0064E1280P0000000000              11 3 1 60000000000000000000000
0064E1281P0037000001              13 2 1 60000000000000000010000
0064E1282P0003000000              13 512 30000000000000000000000
0064E1283P0295000009              13 3 1 600-1000000000300060001
0064E1284P0466000073              11 2 6 400-5000000003500150028
0064E1285P0334000016              11 1 3 60000001000000600040005
0064E1286P0443000008              11 2 6 20000000000000500020001
0064E1287P0266000013              11 1 3 60000000000000900010003
0064E1288P0375000014              11 4 6 100-2000000000700050004
0064E1289P0237000002              13 3 3 40000000000000100000001
0064E1290P0480000026              11 1 1 60004000000001100050006
0064E1291P0304000007              11 3 3 60000000000000200050000
0064E1292P0334000012              12 4 5 10000000000000600020004
0064E1293P0225000020              11 2 6 200-1000000001400020005
0064E1294P0329000007              13 5 7 40001000000000200010003
0064E1295P0000000000              13 3 7 50000000000000000000000
0064E2001P0419000017              351018  0000000000000900040004
0064E2002P0328000014              351018  00-1000000000700030005
0064E2003P0283000010              351018  0000000000000300000007
0064E2004P0238000008              351018  00-1000000000300010005
0064E2005P0135000008              351018  00-1000000000200010006
0064E2006P0194000013              351018  00-2000000000200040009
0064E2007P0111000004              351018  0000000000000300000001
0064E2008P0317000024              351218  00-1000000001300030009
0064E2009P0137000001              351018  00-1000000000000000002
0064E2010P0198000007              351018  00-1000000000600000002
0064E2011P0112000006              351017  00-1000000000200010004
0064E2012P0108000010              351017  0000000000000500000005
0064E2013P0278000007              351218  00-1000000000200010005
0064E2014P0442000013              351216  00-1000000000600040004
0064E2015P0164000004              351218  0000000000000300000001
0064E2016P0348000011              351218  00-2000000000900020002
0064E2017P0331000006              351213  0000001000000200010002
0064E2018P0222000006              321213  00-1000000000300010003
0064E2019P0269000015              321218  00-1000000000300030010
0064E2020P0313000008              351218  00-3000000000400020005
0064E2021P0236000003              321216  0001000000000200000000
0064E2022P0342000012              351017  0000000000000300020007
0064E2023P0219000011              351017  0000000000000300040004
0064E2024P0192000012              351218  0000000000000700020003
0064E2025P0181000011              351018  00-1000000000200050005
0064E2026P0058000002              351018  0000000000000000000002
0064E2027P0166000006              351017  00-1000000000200020003
0064E2028P0276000013              321016  00-1000000000400020008
0064E2029P0255000008              351018  00-3000000000600010004
0064E2030P0291000012              351018  00-1000000000200020009
0064E2031P0302000012              351016  0000000000000300010008
0064E2032P0244000002              351018  00-1000000000000000003
0064E2033P0260000013              351017  0000000000000300060004
0064E2034P0119000006              351017  0000000000000400000002
0064E2035P0236000011              321218  0000000000000200050004
0064E2036P0302000013              351016  00-3000000000400040008
0064E2037P0297000010              351018  0000000000000600000004
0064E2038P0299000018              351218  00-1000000000800010010
0064E2039P0294000018              321218  0000000000000800030007
0064E2040P0360000014              351218  00-1000000001000020003
0064E2041P0486000015              321016  00-8000000000400090010
0064E2042P0265000012              351017  0000000000000400010007
0064E2043P0287000021              351218  0000001000000800020010
0064E2044P0082000004              351216  00-2000000000000000006
0064E2045P0378000006              351018  0000000000000100000005
0064E2046P0201000007              351018  00-1000000000500020001
0064E2047P0168000006              351218  00-1000000000300010003
0064E2048P0284000016              351017  0000000000000900010006
0064E2049P0223000004              351017  00-1000000000100020002
0064E2050P0272000012              321213  00-1000000000700010005
0064E2051P0285000006              351216  0000000000000400000002
0064E2052P0335000018              351016  00-1000000000800060005
0064E2053P0210000011              351017  00-1000000000100030008
0064E2054P0118000002              351017  00-3000000000100010003
0064E2055P0430000014              351218  0000000000000200030009
0064E2056P0209000012              351017  00-3000000000600040005
0064E2057P0173000009              321218  00-2000000000200020007
0064E2058P0246000005              351017  0000000000000300000002
0064E2059P0194000011              351017  00-2000000000200070004
0064E2060P0517000012              321213  00-2000000000900040001
0064E2061P0173000007              351017  00-1000000000500010002
0064E2062P0203000006              351017  0000000000000200030001
0064E2063P0054000001              351018  0000000000000000010000
0064E2064P0232000013              351018  0000000000000200050006
0064E2065P0215000015              351218  0000000000000300080004
0064E2066P0332000009              321218  00-2000000000400050002
0064E2067P0371000007              321218  00-1000000000100040003
0064E2068P0348000020              351218  0000000000000300090008
0064E2069P0322000009              351218  00-4000000000900000004
0064E2070P0189000004              351017  0000000000000200010001
0064E2071P0210000004              351017  0000000000000300000001
0064E2072P0326000018              351017  00-1000000000400080007
0064E2073P0172000011              351018  00-1000000000500030004
0064E2074P0371000012              321213  00-2000000000200020010
0064E2075P0221000010              321218  00-1000000000600010004
0064E2076P0417000018              351016  00-1000000000800040007
0064E2077P0278000009              351216  00-5002000000300040005
0064E2078P0329000005              351016  00-1000000000300020001
0064E2079P0157000011              351017  0000000000000400040003
0064E2080P0059000008              351218  0000000000000100060001
0064E2081P0295000020              351218  0000000000000800010011
0064E2082P0270000010              351016  00-3000000000700010005
0064E2083P0240000014              351016  00-3000000000700040006
0064E2084P0358000018              351216  00-1000000000600030010
0064E2085P0031000000              351017  0000000000000000000000
0064E2086P0198000007              351213  0000000000000300020002
0064E2087P0195000007              351218  0001000000000300020001
0064E2088P0175000008              351017  0000000000000000060002
0064E2089P0120000006              351018  0000000000000300030000
0064E2090P0198000010              351218  0000000000000300020005
0064E2091P0333000013              351016  00-2000000000600000009
0064E2092P0158000005              351017  00-1000000000500010000
0064E2093P0193000012              351218  00-2000000000400020008
0064E2094P0223000004              351017  00-3000000000000020005
0064E2095P0178000015              351216  00-2000000000400040009
0064E2096P0206000006              351017  00-2000000000500000003
0064E2097P0350000012              351218  00-2000000000800020004
0064E2098P0397000011              351016  00-2000000000700020004
0064E2099P0227000006              351218  00-1000000000100010005
0064E2100P0388000012              321216  0000000000000600040002
0064E2101P0498000015              351017  00-2000000000500060006
0064E2102P0412000015              351016  00-2000000000700070003
0064E2103P0265000003              351218  00-2000000000400010000
0064E2104P0180000005              351018  00-2001000000200030001
0064E2105P0119000005              351016  0000000000000000030002
0064E2106P0171000011              351218  00-2000000000500020006
0064E2107P0317000010              321016  0000000000000600030001
0064E2108P0341000019              351216  00-1000000000900020009
0064E2109P0339000005              321017  00-3000000000200020004
0064E2110P0296000012              351018  00-1000000000400040005
0064E2111P0169000008              351218  0000000000000200030003
0064E2112P0539000023              351016  00-4000000001700020008
0064E2113P0329000009              351218  00-4000000000500010007
0064E2114P0267000004              321016  00-2000000000200010003
0064E2115P0110000003              321218  0000000000000100000002
0064E2116P0232000013              351218  0000000000000100060006
0064E2117P0192000006              351218  00-2000000000400010003
0064E2118P0220000006              321216  0000000000000100020003
0064E2119P0451000006              351018  0000000000000200010003
0064E2120P0233000009              321216  00-2000000000100010009
0064E2121P0243000009              351017  00-3000000000400010007
0064E2122P0279000008              321218  0000000000000500010002
0064E2123P0271000013              351017  00-2000001000400050005
0064E2124P0339000013              351218  00-1000000000600010007
0064E2125P0381000002              321016  0000000000000000000002
0064E2126P0253000014              351218  00-3000000000700040006
0064E2127P0308000010              351213  00-3000000000900020002
0064E2128P0326000007              351018  0000000000000100020004
0064E2129P0283000014              351218  00-1000000000100070007
0064E2130P0218000011              321218  0000000000000800020001
0064E2131P0236000014              351216  00-1000000000600050004
0064E2132P0154000005              351016  00-1000000000500000001
0064E2133P0156000005              321016  00-1001000000100020002
0064E2134P0307000014              351016  00-2000000000200100004
0064E2135P0299000009              351016  00-1000000000400020004
0064E2136P0292000014              321216  0000000000001000010003
0064E2137P0193000006              321016  0000000000000500010000
0064E2138P0253000004              321017  0000000000000000000004
0064E2139P0208000003              351016  0000000000000200000001
0064E2140P0357000007              351218  00-4000000000100050005
0064E2141P0150000004              351216  0000000000000200020000
0064E2142P0194000004              321213  0000000000000100000003
0064E2143P0218000004              351017  0000000000000200000002
0064E2144P0490000014              321016  0000000000000400020008
0064E2145P0213000009              321017  00-2000000000200070002
0064E2146P0054000001              321016  0000000000000000000001
0064E2147P0210000005              351016  00-4000000000400040001
0064E2148P0188000002              321216  0000000000000100000001
0064E2149P0218000001              351218  0000000000000000010000
0064E2150P0103000003              351018  0000000000000100000002
0064E2151P0245000007              321017  00-2000000000300000006
0064E2152P0085000003              321216  0000000000000100010001
0064E2153P0221000020              351218  00-1000001000800030009
0064E2154P0152000010              351017  0000000001000300030003
0064E2155P0204000016              351017  00-1000000000400040009
0064E2156P0130000008              351218  0000000000000500010002
0064E2157P0165000006              351218  0000000001000200000003
0064E2158P0234000011              321017  0000001000000200030005
0064E2159P0215000018              351216  00-1000000001200010006
0064E2160P0163000001              351018  0000000000000000000001
0064E2161P0157000008              351218  0000000000000300030002
0064E2162P0473000009              351017  00-4000000000300050005
0064E2163P0319000012              351016  00-1000000000600050002
0064E2164P0191000011              351218  00-1000000000600010005
0064E2165P0233000015              321216  00-1000000000300080005
0064E2166P0181000001              321017  0000000000000100000000
0064E2167P0159000001              351016  0000000000000000010000
0064E2168P0259000008              351018  0000000000000400020002
0064E2169P0227000007              321213  0000000000000000020005
0064E2170P0116000004              321016  00-1000000000300010001
0064E2171P0086000000              351016  00-2000000000100010000
0064E2172P0009000000              321016  0000000000000000000000
0064E2173P0008000000              321016  0000000000000000000000
0064E2174P0020000002              351216  0000000000000100000001
0064E2175P0084000000              351216  00-1000000000000010000
0064E2176P0008000000              321017  0000000000000000000000
0064E2177P0031000000              351017  0000000000000000000000
0064E2178P0229000007              351017  00-1000000000000010007
0064E3001P0333000018              24 911  0000000000000400030011
0064E3002P0253000007              24 911  0000000000000200020003
0064E3003P0178000001              24 711  00-3000000000200010001
0064E3004P0217000004              24 711  0000000000000400000000
0064E3005P0074000001              24 711  0000000000000100000000
0064E3006P0008000000              24 710  0000000000000000000000
0064E3007P0328000001              24 711  00-4000000000200010002
0064E3008P0208000004              24 711  00-3000000000300010003
0064E3009P0135000001              24 6 9  0000000000000000000001
0064E3010P0472000007              24 710  00-4000000000600030002
0064E3011P0325000020              24 710  00-1000000001400050002
0064E3012P0582000013              24 710  00-6000000000600040009
0064E3013P0453000005              23 710  00-1000000000400000002
0064E3014P0458000014              24 710  00-3000000000800030006
0064E3015P0518000010              24 710  00-2000000000700010004
0064E3016P0446000010              23 6 9  00-2000001000300020006
0064E3017P0292000008              23 6 9  00-3000000000600010004
0064E3018P0302000021              23 7 8  00-5000000001200060008
0064E3019P0248000004              23 7 8  00-1000000000000040001
0064E3020P0291000010              23 7 8  00-1000000000400040003
0064E3021P0410000011              23 7 8  0000000000000800010002
0064E3022P0047000004              23 7 8  0000000000000000000004
0064E3023P0245000007              24 5 8  00-1000000000500000003
0064E3024P0333000013              23 7 8  0000000000000400040005
0064E3025P0579000009              23 5 8  00-6000000000800040003
0064E3026P0357000011              24 711  00-1000000000800000004
0064E3027P0201000001              24 610  00-1000000000000010001
0064E3028P0386000013              24 710  00-4000000001000020005
0064E3029P0260000005              24 611  00-1000000000100040001
0064E3030P0241000007              23 6 9  0000000000000400010002
0064E3031P0481000019              24 911  00-1000000001400010005
0064E3032P0252000005              24 611  00-1000000000200020002
0064E3033P0122000001              23 6 9  0000000000000000010000
0064E3034P0337000011              24 610  0000000000000200050004
0064E3035P0191000012              24 710  00-2000000000800040002
0064E3036P0099000002              23 6 9  00-3000000000100010003
0064E3037P0453000012              23 7 8  00-4000000000700030006
0064E3038P0311000010              23 7 8  00-3000000000400020007
0064E3039P0331000015              23 7 8  00-4000000000900040006
0064E3040P0314000002              24 710  00-1000000000100000002
0064E3041P0132000005              24 911  0000000000000400010000
0064E3042P0460000012              24 911  0000000000000400010007
0064E3043P0189000013              24 911  0000000000000900020002
0064E3044P0211000007              241211  0000000000000600010000
0064E3045P0265000005              24 7 8  00-1000000000500000001
0064E3046P0075000001              13 812  0001000000000000000000
0064E3047P0395000012              24 911  0000000000000400000008
0064E3048P0398000014              24 611  00-2000000000600020008
0064E3049P0390000018              23 710  00-2000000000200050013
0064E3050P0290000005              24 710  00-1001000000400000001
0064E3051P0209000013              23 6 9  00-1000000001100010002
0064E3052P0416000015              24 7 8  00-2000000000500070005
0064E3053P0364000018              23 7 8  00-1000000000800060005
0064E3054P0262000002              23 510  0000000000000200000000
0064E3055P0210000007              23 6 9  00-1000000000200040002
0064E3056P0261000007              24 911  0000000000000500010001
0064E3057P0376000015              24 911  00-2000000000600030008
0064E3058P0461000019              24 911  00-1000000001000050005
0064E3059P0123000002              23 6 9  00-3000000000300020000
0064E3060P0094000003              23 6 9  0000000000000100010001
0064E3061P0444000021              23 7 8  0000000000000400080009
0064E3062P0534000015              24 911  00-2001000001000020004
0064E3063P0132000001              24 611  0000000000000100000000
0064E3064P0325000005              24 911  0000000000000300010001
