Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President of the United States,Donald J. Trump,CON,"Queensbury Ward 2  1,2,3,4 ",24,31,92,147,3.35
President of the United States,Donald J. Trump,CON,"Queensbury Ward 3 1,2,3,4 ",32,48,113,193,4.67
President of the United States,Donald J. Trump,CON,"Queensbury Ward 4 1,2,3 ",13,20,95,128,4.03
President of the United States,Donald J. Trump,CON,"Glens Falls Ward 1 1 ",5,1,25,31,3.51
President of the United States,Donald J. Trump,CON,"Glens Falls Ward 2 1,2 ",5,9,34,48,2.54
President of the United States,Donald J. Trump,CON,"Glens Falls Ward 3 1,2 ",8,10,33,51,2.61
President of the United States,Donald J. Trump,CON,"Glens Falls Ward 4 1 ",3,1,18,22,2.76
President of the United States,Donald J. Trump,CON,"Glens Falls Ward 5 1,2 ",4,8,37,49,3.64
President of the United States,Donald J. Trump,CON,"Bolton 1,2 ",12,0,49,61,4.32
President of the United States,Donald J. Trump,CON,"Chester 1,2 ",19,4,67,90,4.76
President of the United States,Donald J. Trump,CON,"Hague 1 ",3,0,8,11,2.32
President of the United States,Donald J. Trump,CON,"Johnsburg 1,2 ",9,3,20,32,2.66
President of the United States,Donald J. Trump,CON,"Lake George 1,2 ",15,15,56,86,4.07
President of the United States,Donald J. Trump,CON,"Lake Luzerne 1,2 ",14,11,75,100,5.64
President of the United States,Donald J. Trump,CON,"Stony Creek 1 ",4,0,20,24,5.41
President of the United States,Joseph R. Biden,WOR,"Horicon 1,2 ",3,0,13,16,1.68
President of the United States,Joseph R. Biden,WOR,"Thurman 1 ",0,1,11,12,1.97
President of the United States,Joseph R. Biden,WOR,"Warrensburg 1,2,3 ",13,9,24,46,2.46
President of the United States,Joseph R. Biden,WOR,"Queensbury Ward 1 1,2,3,4,5 ",21,41,35,97,2.01
President of the United States,Joseph R. Biden,WOR,"Queensbury Ward 2  1,2,3,4 ",47,56,53,156,3.56
President of the United States,Joseph R. Biden,WOR,"Queensbury Ward 3 1,2,3,4 ",41,40,32,113,2.73
President of the United States,Joseph R. Biden,WOR,"Queensbury Ward 4 1,2,3 ",19,23,30,72,2.26
President of the United States,Joseph R. Biden,WOR,"Glens Falls Ward 1 1 ",14,6,19,39,4.42
President of the United States,Joseph R. Biden,WOR,"Glens Falls Ward 2 1,2 ",28,28,36,92,4.86
President of the United States,Joseph R. Biden,WOR,"Glens Falls Ward 3 1,2 ",23,34,39,96,4.91
President of the United States,Joseph R. Biden,WOR,"Glens Falls Ward 4 1 ",4,5,23,32,4.02
President of the United States,Joseph R. Biden,WOR,"Glens Falls Ward 5 1,2 ",11,24,14,49,3.64
President of the United States,Joseph R. Biden,WOR,"Bolton 1,2 ",8,8,19,35,2.48
President of the United States,Joseph R. Biden,WOR,"Chester 1,2 ",12,10,28,50,2.65
President of the United States,Joseph R. Biden,WOR,"Hague 1 ",1,0,2,3,0.63
President of the United States,Joseph R. Biden,WOR,"Johnsburg 1,2 ",11,4,27,42,3.49
President of the United States,Joseph R. Biden,WOR,"Lake George 1,2 ",15,10,24,49,2.32
President of the United States,Joseph R. Biden,WOR,"Lake Luzerne 1,2 ",9,7,14,30,1.69
President of the United States,Joseph R. Biden,WOR,"Stony Creek 1 ",0,0,7,7,1.58
President of the United States,Howie Hawkins,GRE,"Horicon 1,2 ",0,0,6,6,0.63
President of the United States,Howie Hawkins,GRE,"Thurman 1 ",1,1,3,5,0.82
President of the United States,Howie Hawkins,GRE,"Warrensburg 1,2,3 ",3,2,2,7,0.37
President of the United States,Howie Hawkins,GRE,"Queensbury Ward 1 1,2,3,4,5 ",8,6,3,17,0.35
President of the United States,Howie Hawkins,GRE,"Queensbury Ward 2  1,2,3,4 ",5,5,8,18,0.41
President of the United States,Howie Hawkins,GRE,"Queensbury Ward 3 1,2,3,4 ",7,6,13,26,0.63
President of the United States,Howie Hawkins,GRE,"Queensbury Ward 4 1,2,3 ",4,0,11,15,0.47
President of the United States,Howie Hawkins,GRE,"Glens Falls Ward 1 1 ",1,2,4,7,0.79
President of the United States,Howie Hawkins,GRE,"Glens Falls Ward 2 1,2 ",5,3,13,21,1.11
President of the United States,Howie Hawkins,GRE,"Glens Falls Ward 3 1,2 ",5,4,12,21,1.07
President of the United States,Howie Hawkins,GRE,"Glens Falls Ward 4 1 ",1,5,3,9,1.13
President of the United States,Howie Hawkins,GRE,"Glens Falls Ward 5 1,2 ",2,3,4,9,0.67
President of the United States,Howie Hawkins,GRE,"Bolton 1,2 ",1,1,4,6,0.43
President of the United States,Howie Hawkins,GRE,"Chester 1,2 ",2,0,8,10,0.53
President of the United States,Howie Hawkins,GRE,"Hague 1 ",0,0,2,2,0.42
President of the United States,Howie Hawkins,GRE,"Johnsburg 1,2 ",0,0,2,2,0.17
President of the United States,Howie Hawkins,GRE,"Lake George 1,2 ",2,2,7,11,0.52
President of the United States,Howie Hawkins,GRE,"Lake Luzerne 1,2 ",3,0,7,10,0.56
President of the United States,Howie Hawkins,GRE,"Stony Creek 1 ",2,0,0,2,0.45
President of the United States,Jo Jorgensen,LBT,"Horicon 1,2 ",2,1,1,4,0.42
President of the United States,Jo Jorgensen,LBT,"Thurman 1 ",1,0,5,6,0.98
President of the United States,Jo Jorgensen,LBT,"Warrensburg 1,2,3 ",1,4,19,24,1.28
President of the United States,Jo Jorgensen,LBT,"Queensbury Ward 1 1,2,3,4,5 ",11,5,32,48,0.99
President of the United States,Jo Jorgensen,LBT,"Queensbury Ward 2  1,2,3,4 ",16,8,26,50,1.14
President of the United States,Jo Jorgensen,LBT,"Queensbury Ward 3 1,2,3,4 ",10,5,33,48,1.16
President of the United States,Jo Jorgensen,LBT,"Queensbury Ward 4 1,2,3 ",12,3,33,48,1.51
President of the United States,Jo Jorgensen,LBT,"Glens Falls Ward 1 1 ",2,1,6,9,1.02
President of the United States,Jo Jorgensen,LBT,"Glens Falls Ward 2 1,2 ",3,1,26,30,1.58
President of the United States,Jo Jorgensen,LBT,"Glens Falls Ward 3 1,2 ",4,5,20,29,1.48
President of the United States,Jo Jorgensen,LBT,"Glens Falls Ward 4 1 ",2,3,3,8,1.01
President of the United States,Jo Jorgensen,LBT,"Glens Falls Ward 5 1,2 ",4,1,14,19,1.41
President of the United States,Jo Jorgensen,LBT,"Bolton 1,2 ",4,1,7,12,0.85
President of the United States,Jo Jorgensen,LBT,"Chester 1,2 ",4,0,15,19,1.01
President of the United States,Jo Jorgensen,LBT,"Hague 1 ",1,0,5,6,1.26
President of the United States,Jo Jorgensen,LBT,"Johnsburg 1,2 ",3,3,12,18,1.50
President of the United States,Jo Jorgensen,LBT,"Lake George 1,2 ",5,0,13,18,0.85
President of the United States,Jo Jorgensen,LBT,"Lake Luzerne 1,2 ",0,2,19,21,1.18
President of the United States,Jo Jorgensen,LBT,"Stony Creek 1 ",1,0,6,7,1.58
President of the United States,Brock Pierce,IND,"Horicon 1,2 ",0,0,2,2,0.21
President of the United States,Brock Pierce,IND,"Thurman 1 ",1,0,5,6,0.98
President of the United States,Brock Pierce,IND,"Warrensburg 1,2,3 ",1,0,2,3,0.16
President of the United States,Brock Pierce,IND,"Queensbury Ward 1 1,2,3,4,5 ",6,4,10,20,0.41
President of the United States,Brock Pierce,IND,"Queensbury Ward 2  1,2,3,4 ",7,6,12,25,0.57
President of the United States,Brock Pierce,IND,"Queensbury Ward 3 1,2,3,4 ",6,3,11,20,0.48
President of the United States,Brock Pierce,IND,"Queensbury Ward 4 1,2,3 ",4,1,12,17,0.53
President of the United States,Brock Pierce,IND,"Glens Falls Ward 1 1 ",0,0,4,4,0.45
President of the United States,Brock Pierce,IND,"Glens Falls Ward 2 1,2 ",2,0,7,9,0.48
President of the United States,Brock Pierce,IND,"Glens Falls Ward 3 1,2 ",1,0,0,1,0.05
President of the United States,Brock Pierce,IND,"Glens Falls Ward 4 1 ",3,0,6,9,1.13
President of the United States,Brock Pierce,IND,"Glens Falls Ward 5 1,2 ",0,2,10,12,0.89
President of the United States,Brock Pierce,IND,"Bolton 1,2 ",1,0,2,3,0.21
President of the United States,Brock Pierce,IND,"Chester 1,2 ",3,0,7,10,0.53
President of the United States,Brock Pierce,IND,"Hague 1 ",0,0,1,1,0.21
President of the United States,Brock Pierce,IND,"Johnsburg 1,2 ",2,0,5,7,0.58
President of the United States,Brock Pierce,IND,"Lake George 1,2 ",0,0,9,9,0.43
President of the United States,Brock Pierce,IND,"Lake Luzerne 1,2 ",1,0,3,4,0.23
President of the United States,Brock Pierce,IND,"Stony Creek 1 ",0,0,0,0,0.00
President of the United States,Write-in,,"Horicon 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Thurman 1 ",0,0,0,0,0.00
President of the United States,Write-in,,"Warrensburg 1,2,3 ",0,0,0,0,0.00
President of the United States,Write-in,,"Queensbury Ward 1 1,2,3,4,5 ",0,0,0,0,0.00
President of the United States,Write-in,,"Queensbury Ward 2  1,2,3,4 ",0,0,0,0,0.00
President of the United States,Write-in,,"Queensbury Ward 3 1,2,3,4 ",0,0,0,0,0.00
President of the United States,Write-in,,"Queensbury Ward 4 1,2,3 ",0,0,0,0,0.00
President of the United States,Write-in,,"Glens Falls Ward 1 1 ",0,0,0,0,0.00
President of the United States,Write-in,,"Glens Falls Ward 2 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Glens Falls Ward 3 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
President of the United States,Write-in,,"Glens Falls Ward 5 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Bolton 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Chester 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Hague 1 ",0,0,0,0,0.00
President of the United States,Write-in,,"Johnsburg 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Lake George 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Lake Luzerne 1,2 ",0,0,0,0,0.00
President of the United States,Write-in,,"Stony Creek 1 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Horicon 1,2 ",0,0,2,2,0.21
President of the United States,Brian Carroll,,"Thurman 1 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Warrensburg 1,2,3 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Queensbury Ward 1 1,2,3,4,5 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Queensbury Ward 2  1,2,3,4 ",0,0,1,1,0.02
President of the United States,Brian Carroll,,"Queensbury Ward 3 1,2,3,4 ",1,0,0,1,0.02
President of the United States,Brian Carroll,,"Queensbury Ward 4 1,2,3 ",1,0,1,2,0.06
President of the United States,Brian Carroll,,"Glens Falls Ward 1 1 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Glens Falls Ward 2 1,2 ",0,0,1,1,0.05
President of the United States,Brian Carroll,,"Glens Falls Ward 3 1,2 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Glens Falls Ward 5 1,2 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Bolton 1,2 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Chester 1,2 ",0,0,1,1,0.05
President of the United States,Brian Carroll,,"Hague 1 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Johnsburg 1,2 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Lake George 1,2 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Lake Luzerne 1,2 ",0,0,0,0,0.00
President of the United States,Brian Carroll,,"Stony Creek 1 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Horicon 1,2 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Thurman 1 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Warrensburg 1,2,3 ",0,0,1,1,0.05
President of the United States,Kanye West,,"Queensbury Ward 1 1,2,3,4,5 ",0,0,1,1,0.02
President of the United States,Kanye West,,"Queensbury Ward 2  1,2,3,4 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Queensbury Ward 3 1,2,3,4 ",0,0,1,1,0.02
President of the United States,Kanye West,,"Queensbury Ward 4 1,2,3 ",1,0,0,1,0.03
President of the United States,Kanye West,,"Glens Falls Ward 1 1 ",0,0,1,1,0.11
President of the United States,Kanye West,,"Glens Falls Ward 2 1,2 ",1,0,0,1,0.05
President of the United States,Kanye West,,"Glens Falls Ward 3 1,2 ",0,0,1,1,0.05
President of the United States,Kanye West,,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Glens Falls Ward 5 1,2 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Bolton 1,2 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Chester 1,2 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Hague 1 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Johnsburg 1,2 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Lake George 1,2 ",0,0,0,0,0.00
President of the United States,Kanye West,,"Lake Luzerne 1,2 ",0,0,1,1,0.06
President of the United States,Kanye West,,"Stony Creek 1 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Horicon 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Thurman 1 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Warrensburg 1,2,3 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Queensbury Ward 1 1,2,3,4,5 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Queensbury Ward 2  1,2,3,4 ",1,0,0,1,0.02
President of the United States,Don Blankenship,,"Queensbury Ward 3 1,2,3,4 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Queensbury Ward 4 1,2,3 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Glens Falls Ward 1 1 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Glens Falls Ward 2 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Glens Falls Ward 3 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Glens Falls Ward 5 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Bolton 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Chester 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Hague 1 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Johnsburg 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Lake George 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Lake Luzerne 1,2 ",0,0,0,0,0.00
President of the United States,Don Blankenship,,"Stony Creek 1 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Horicon 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Thurman 1 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Warrensburg 1,2,3 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Queensbury Ward 1 1,2,3,4,5 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Queensbury Ward 2  1,2,3,4 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Queensbury Ward 3 1,2,3,4 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Queensbury Ward 4 1,2,3 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Glens Falls Ward 1 1 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Glens Falls Ward 2 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Glens Falls Ward 3 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Glens Falls Ward 5 1,2 ",1,0,0,1,0.07
President of the United States,Mark Charles,,"Bolton 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Chester 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Hague 1 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Johnsburg 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Lake George 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Lake Luzerne 1,2 ",0,0,0,0,0.00
President of the United States,Mark Charles,,"Stony Creek 1 ",0,0,0,0,0.00
President of the United States,OVER VOTES,STATS,"Horicon 1,2 ",1,0,2,3,0.31
President of the United States,OVER VOTES,STATS,"Thurman 1 ",1,0,1,2,0.33
President of the United States,OVER VOTES,STATS,"Warrensburg 1,2,3 ",1,0,5,6,0.32
President of the United States,OVER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",6,1,8,15,0.31
President of the United States,OVER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",9,4,4,17,0.39
President of the United States,OVER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",7,3,5,15,0.36
President of the United States,OVER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",5,1,3,9,0.28
President of the United States,OVER VOTES,STATS,"Glens Falls Ward 1 1 ",3,0,1,4,0.45
President of the United States,OVER VOTES,STATS,"Glens Falls Ward 2 1,2 ",3,2,3,8,0.42
President of the United States,OVER VOTES,STATS,"Glens Falls Ward 3 1,2 ",3,0,1,4,0.20
President of the United States,OVER VOTES,STATS,"Glens Falls Ward 4 1 ",0,0,1,1,0.13
President of the United States,OVER VOTES,STATS,"Glens Falls Ward 5 1,2 ",3,0,1,4,0.30
President of the United States,OVER VOTES,STATS,"Bolton 1,2 ",3,0,0,3,0.21
President of the United States,OVER VOTES,STATS,"Chester 1,2 ",2,0,0,2,0.11
President of the United States,OVER VOTES,STATS,"Hague 1 ",0,0,0,0,0.00
President of the United States,OVER VOTES,STATS,"Johnsburg 1,2 ",1,0,1,2,0.17
President of the United States,OVER VOTES,STATS,"Lake George 1,2 ",2,2,8,12,0.57
President of the United States,OVER VOTES,STATS,"Lake Luzerne 1,2 ",0,0,0,0,0.00
President of the United States,OVER VOTES,STATS,"Stony Creek 1 ",1,0,0,1,0.23
President of the United States,UNDER VOTES,STATS,"Horicon 1,2 ",1,0,2,3,0.31
President of the United States,UNDER VOTES,STATS,"Thurman 1 ",0,0,2,2,0.33
President of the United States,UNDER VOTES,STATS,"Warrensburg 1,2,3 ",2,0,4,6,0.32
President of the United States,UNDER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",10,5,11,26,0.54
President of the United States,UNDER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",4,0,11,15,0.34
President of the United States,UNDER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",6,2,10,18,0.44
President of the United States,UNDER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",4,1,9,14,0.44
President of the United States,UNDER VOTES,STATS,"Glens Falls Ward 1 1 ",0,0,0,0,0.00
President of the United States,UNDER VOTES,STATS,"Glens Falls Ward 2 1,2 ",1,1,5,7,0.37
President of the United States,UNDER VOTES,STATS,"Glens Falls Ward 3 1,2 ",2,1,5,8,0.41
President of the United States,UNDER VOTES,STATS,"Glens Falls Ward 4 1 ",1,0,1,2,0.25
President of the United States,UNDER VOTES,STATS,"Glens Falls Ward 5 1,2 ",0,0,5,5,0.37
President of the United States,UNDER VOTES,STATS,"Bolton 1,2 ",2,0,7,9,0.64
President of the United States,UNDER VOTES,STATS,"Chester 1,2 ",0,0,5,5,0.26
President of the United States,UNDER VOTES,STATS,"Hague 1 ",1,0,1,2,0.42
President of the United States,UNDER VOTES,STATS,"Johnsburg 1,2 ",0,0,4,4,0.33
President of the United States,UNDER VOTES,STATS,"Lake George 1,2 ",3,0,2,5,0.24
President of the United States,UNDER VOTES,STATS,"Lake Luzerne 1,2 ",0,0,6,6,0.34
President of the United States,UNDER VOTES,STATS,"Stony Creek 1 ",0,0,0,0,0.00
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Horicon 1,2 ",87,50,187,324,34.00
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Thurman 1 ",39,21,109,169,28.21
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Warrensburg 1,2,3 ",206,112,314,632,34.11
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Queensbury Ward 1 1,2,3,4,5 ",702,744,504,1950,40.55
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Queensbury Ward 2  1,2,3,4 ",863,724,537,2124,48.62
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Queensbury Ward 3 1,2,3,4 ",641,636,502,1779,43.12
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Queensbury Ward 4 1,2,3 ",461,392,450,1303,41.10
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Glens Falls Ward 1 1 ",131,72,211,414,47.70
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Glens Falls Ward 2 1,2 ",319,239,427,985,52.28
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Glens Falls Ward 3 1,2 ",334,373,433,1140,58.40
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Glens Falls Ward 4 1 ",136,111,174,421,53.29
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Glens Falls Ward 5 1,2 ",188,110,318,616,46.04
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Bolton 1,2 ",163,104,305,572,40.57
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Chester 1,2 ",222,84,293,599,31.88
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Hague 1 ",68,17,131,216,45.76
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Johnsburg 1,2 ",154,57,282,493,41.46
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Lake George 1,2 ",271,230,365,866,41.32
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Lake Luzerne 1,2 ",148,131,290,569,32.38
Representative in Congress (21st District),Tedra L. Cobb,DEM,"Stony Creek 1 ",25,4,83,112,25.81
Representative in Congress (21st District),Elise M. Stefanik,REP,"Horicon 1,2 ",110,22,412,544,57.08
Representative in Congress (21st District),Elise M. Stefanik,REP,"Thurman 1 ",25,13,327,365,60.93
Representative in Congress (21st District),Elise M. Stefanik,REP,"Warrensburg 1,2,3 ",135,99,843,1077,58.12
Representative in Congress (21st District),Elise M. Stefanik,REP,"Queensbury Ward 1 1,2,3,4,5 ",415,601,1408,2424,50.41
Representative in Congress (21st District),Elise M. Stefanik,REP,"Queensbury Ward 2  1,2,3,4 ",342,419,1090,1851,42.37
Representative in Congress (21st District),Elise M. Stefanik,REP,"Queensbury Ward 3 1,2,3,4 ",302,455,1170,1927,46.70
Representative in Congress (21st District),Elise M. Stefanik,REP,"Queensbury Ward 4 1,2,3 ",216,285,1080,1581,49.87
Representative in Congress (21st District),Elise M. Stefanik,REP,"Glens Falls Ward 1 1 ",54,34,273,361,41.59
Representative in Congress (21st District),Elise M. Stefanik,REP,"Glens Falls Ward 2 1,2 ",75,79,532,686,36.41
Representative in Congress (21st District),Elise M. Stefanik,REP,"Glens Falls Ward 3 1,2 ",85,100,422,607,31.10
Representative in Congress (21st District),Elise M. Stefanik,REP,"Glens Falls Ward 4 1 ",48,34,205,287,36.33
Representative in Congress (21st District),Elise M. Stefanik,REP,"Glens Falls Ward 5 1,2 ",62,62,443,567,42.38
Representative in Congress (21st District),Elise M. Stefanik,REP,"Bolton 1,2 ",116,39,554,709,50.28
Representative in Congress (21st District),Elise M. Stefanik,REP,"Chester 1,2 ",157,61,877,1095,58.28
Representative in Congress (21st District),Elise M. Stefanik,REP,"Hague 1 ",27,11,182,220,46.61
