Contest,Candidate Issue,Party,District Name,Affidavit Votes,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Beekmantown 1 ",0,0,0,2,2,3.08
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Beekmantown 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Beekmantown 3 ",0,1,0,1,2,1.46
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Beekmantown 4 ",0,1,0,0,1,1.37
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Black Brook 1 ",0,0,0,1,1,2.04
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Black Brook 2 ",0,2,0,0,2,10.53
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Champlain 1 ",0,0,0,1,1,1.22
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Champlain 2 ",0,2,0,1,3,2.86
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Champlain 3 ",0,0,0,3,3,3.57
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Chazy 1 ",0,1,0,3,4,3.81
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Chazy 2 ",0,2,0,0,2,2.17
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Clinton 1 ",0,1,0,0,1,3.70
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Dannemora 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Dannemora 2 ",0,1,0,0,1,4.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Dannemora 3 ",0,0,0,2,2,5.13
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Ellenburg 1 ",0,3,0,2,5,6.76
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Mooers 1 ",0,0,0,1,1,1.49
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Mooers 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Peru 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Peru 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Peru 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Peru 4 ",0,1,0,0,1,0.93
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Plattsburgh 1 ",0,3,0,0,3,3.90
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Plattsburgh 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Plattsburgh 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Plattsburgh 4 ",0,3,0,1,4,4.82
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Plattsburgh 5 ",0,1,0,0,1,1.64
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Plattsburgh 6 ",0,0,0,1,1,0.56
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Plattsburgh 7 ",0,2,0,2,4,6.06
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Saranac 1 ",0,1,0,1,2,2.33
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Saranac 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Saranac 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Schuyler Falls 1 ",0,1,0,0,1,3.13
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Schuyler Falls 2 ",0,2,0,2,4,4.26
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Schuyler Falls 3 ",0,2,0,0,2,2.67
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 1 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 1 2 ",0,3,0,1,4,1.50
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 1 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 2 1 ",0,0,0,1,1,1.10
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 2 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 3 1 ",0,1,0,0,1,0.73
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 3 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 4 1 ",0,0,0,1,1,0.57
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 4 2 ",0,2,0,0,2,1.14
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 5 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 5 2 ",0,1,0,0,1,0.58
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 6 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"City of Plattsburgh Ward 6 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Altona 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of AuSable 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of AuSable 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Beekmantown 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Beekmantown 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Beekmantown 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Beekmantown 4 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Black Brook 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Black Brook 2 ",0,1,0,0,1,5.26
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Champlain 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Champlain 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Champlain 3 ",0,1,0,0,1,1.19
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Chazy 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Chazy 2 ",0,1,0,0,1,1.09
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Clinton 1 ",0,2,0,0,2,7.41
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Dannemora 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Dannemora 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Dannemora 3 ",0,0,0,1,1,2.56
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Ellenburg 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Mooers 1 ",0,1,0,0,1,1.49
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Mooers 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Peru 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Peru 2 ",0,1,0,2,3,2.68
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Peru 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Peru 4 ",0,2,0,0,2,1.85
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Plattsburgh 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Plattsburgh 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Plattsburgh 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Plattsburgh 4 ",0,1,0,0,1,1.20
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Plattsburgh 5 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Plattsburgh 6 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Plattsburgh 7 ",0,1,0,1,2,3.03
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Saranac 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Saranac 2 ",0,1,0,0,1,2.08
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Saranac 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Schuyler Falls 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Schuyler Falls 2 ",0,1,0,0,1,1.06
"PRESIDENT OF THE UNITED STATES ",Amy Klobuchar,DM2,"Town of Schuyler Falls 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 1 1 ",0,29,0,5,34,69.39
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 1 2 ",0,142,0,53,195,73.31
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 1 3 ",0,2,0,1,3,42.86
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 2 1 ",0,40,0,19,59,64.84
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 2 2 ",0,15,0,8,23,46.94
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 3 1 ",0,70,0,29,99,72.26
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 3 2 ",0,76,0,49,125,68.31
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 4 1 ",0,69,0,40,109,62.29
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 4 2 ",0,87,0,42,129,73.71
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 5 1 ",0,49,0,22,71,62.83
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 5 2 ",0,76,0,31,107,61.85
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 6 1 ",0,59,0,27,86,60.99
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"City of Plattsburgh Ward 6 2 ",0,21,0,22,43,50.59
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Altona 1 ",0,37,0,19,56,68.29
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of AuSable 1 ",0,12,0,18,30,57.69
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of AuSable 2 ",0,34,0,15,49,76.56
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Beekmantown 1 ",0,30,0,17,47,72.31
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Beekmantown 2 ",0,32,0,13,45,81.82
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Beekmantown 3 ",0,79,0,22,101,73.72
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Beekmantown 4 ",0,42,0,14,56,76.71
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Black Brook 1 ",0,28,0,11,39,79.59
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Black Brook 2 ",0,6,0,5,11,57.89
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Champlain 1 ",0,53,0,13,66,80.49
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Champlain 2 ",0,61,0,18,79,75.24
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Champlain 3 ",0,45,0,7,52,61.90
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Chazy 1 ",0,61,0,18,79,75.24
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Chazy 2 ",0,46,0,12,58,63.04
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Clinton 1 ",0,15,0,5,20,74.07
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Dannemora 1 ",0,5,0,9,14,87.50
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Dannemora 2 ",0,12,0,5,17,68.00
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Dannemora 3 ",0,17,0,12,29,74.36
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Ellenburg 1 ",0,47,0,12,59,79.73
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Mooers 1 ",0,35,0,17,52,77.61
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Mooers 2 ",0,22,0,0,22,70.97
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Peru 1 ",0,48,0,10,58,78.38
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Peru 2 ",0,59,0,20,79,70.54
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Peru 3 ",0,21,0,4,25,73.53
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Peru 4 ",0,66,0,14,80,74.07
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Plattsburgh 1 ",0,37,0,10,47,61.04
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Plattsburgh 2 ",0,57,0,16,73,76.04
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Plattsburgh 3 ",0,58,0,35,93,76.86
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Plattsburgh 4 ",0,44,0,10,54,65.06
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Plattsburgh 5 ",0,28,0,13,41,67.21
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Plattsburgh 6 ",0,94,0,35,129,72.07
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Plattsburgh 7 ",0,35,0,3,38,57.58
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Saranac 1 ",0,45,0,11,56,65.12
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Saranac 2 ",0,22,0,10,32,66.67
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Saranac 3 ",0,21,0,11,32,78.05
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Schuyler Falls 1 ",0,20,0,4,24,75.00
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Schuyler Falls 2 ",0,49,0,15,64,68.09
"PRESIDENT OF THE UNITED STATES ",Joseph R. Biden,DM3,"Town of Schuyler Falls 3 ",0,48,0,6,54,72.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 1 1 ",0,0,0,1,1,2.04
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 1 2 ",0,0,0,1,1,0.38
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 1 3 ",0,1,0,0,1,14.29
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 2 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 2 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 3 1 ",0,1,0,0,1,0.73
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 3 2 ",0,0,0,1,1,0.55
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 4 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 4 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 5 1 ",0,0,0,1,1,0.88
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 5 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 6 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"City of Plattsburgh Ward 6 2 ",0,1,0,0,1,1.18
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Altona 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of AuSable 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of AuSable 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Beekmantown 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Beekmantown 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Beekmantown 3 ",0,0,0,2,2,1.46
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Beekmantown 4 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Black Brook 1 ",0,0,0,1,1,2.04
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Black Brook 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Champlain 1 ",0,1,0,0,1,1.22
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Champlain 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Champlain 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Chazy 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Chazy 2 ",0,0,0,1,1,1.09
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Clinton 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Dannemora 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Dannemora 2 ",0,1,0,0,1,4.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Dannemora 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Ellenburg 1 ",0,0,0,1,1,1.35
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Mooers 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Mooers 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Peru 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Peru 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Peru 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Peru 4 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Plattsburgh 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Plattsburgh 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Plattsburgh 3 ",0,1,0,2,3,2.48
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Plattsburgh 4 ",0,1,0,0,1,1.20
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Plattsburgh 5 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Plattsburgh 6 ",0,2,0,0,2,1.12
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Plattsburgh 7 ",0,1,0,0,1,1.52
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Saranac 1 ",0,0,0,2,2,2.33
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Saranac 2 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Saranac 3 ",0,0,0,1,1,2.44
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Schuyler Falls 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Schuyler Falls 2 ",0,1,0,1,2,2.13
"PRESIDENT OF THE UNITED STATES ",Tulsi Gabbard,DM4,"Town of Schuyler Falls 3 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 1 1 ",0,5,0,5,10,20.41
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 1 2 ",0,22,0,25,47,17.67
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 1 3 ",0,2,0,0,2,28.57
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 2 1 ",0,8,0,17,25,27.47
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 2 2 ",0,5,0,12,17,34.69
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 3 1 ",0,15,0,9,24,17.52
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 3 2 ",0,29,0,14,43,23.50
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 4 1 ",0,23,0,31,54,30.86
"PRESIDENT OF THE UNITED STATES ",Bernie Sanders,DM5,"City of Plattsburgh Ward 4 2 ",0,18,0,11,29,16.57
