Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Highlands - D5  ",78,0,122,200,56.18
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Highlands - D6  ",39,0,143,182,41.65
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Minisink - D1  ",49,0,141,190,29.28
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Minisink - D2  ",78,0,167,245,33.52
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Minisink - D3  ",34,0,105,139,30.75
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Minisink - D4  ",73,0,150,223,35.40
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D1  ",89,0,245,334,46.01
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D2  ",76,0,197,273,44.98
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D3  ",48,0,166,214,48.42
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D4  ",78,0,249,327,47.39
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D5  ",84,0,198,282,47.32
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D6  ",78,0,182,260,48.51
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D7  ",97,0,237,334,46.32
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D8  ",68,0,189,257,57.24
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D9  ",48,0,151,199,51.42
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D10  ",97,0,206,303,44.56
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D11  ",44,0,130,174,37.42
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D12  ",70,0,202,272,44.88
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D13  ",90,0,153,243,46.73
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D14  ",66,0,144,210,40.86
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D15  ",111,0,281,392,49.81
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D16  ",52,0,122,174,42.96
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D17  ",68,0,181,249,46.80
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D18  ",9,0,18,27,19.42
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D19  ",60,0,153,213,59.33
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D20  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Monroe - D21  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D1  ",1,0,3,4,1.66
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D2  ",1,0,3,4,0.57
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D3  ",0,0,1,1,0.47
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D4  ",0,0,4,4,1.25
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D5  ",0,0,6,6,1.38
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D7  ",1,0,6,7,1.88
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D8  ",0,0,4,4,0.83
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D9  ",1,0,2,3,1.13
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D10  ",0,0,2,2,0.61
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D11  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D12  ",2,0,6,8,2.37
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D13  ",2,0,5,7,1.56
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D14   ",1,0,2,3,0.89
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D15  ",1,0,4,5,1.10
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D16  ",2,0,1,3,0.82
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D17  ",0,0,9,9,1.42
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D18  ",0,0,2,2,3.57
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Palm Tree - D19  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D1  ",45,0,197,242,35.48
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D2  ",91,0,296,387,46.68
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D3  ",104,0,337,441,54.51
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D4  ",62,0,161,223,40.04
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D5  ",95,0,204,299,45.51
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D6  ",61,0,187,248,47.42
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D7  ",72,0,203,275,45.76
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D8  ",79,0,249,328,59.10
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D9  ",35,0,138,173,33.79
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D10  ",48,0,117,165,30.44
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D11  ",48,0,145,193,35.09
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D12  ",75,0,239,314,56.27
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D13  ",54,0,176,230,32.53
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D14  ",37,0,136,173,36.19
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D15  ",57,0,246,303,47.27
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D16  ",77,0,231,308,43.38
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D17  ",70,0,240,310,47.26
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Montgomery - D18  ",75,0,231,306,36.73
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Mount Hope - D1  ",41,0,139,180,37.82
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Mount Hope - D2  ",78,0,183,261,35.22
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Mount Hope - D3  ",68,0,196,264,37.18
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Mount Hope - D4  ",67,0,175,242,31.88
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D1  ",61,0,124,185,50.41
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D2  ",48,0,176,224,52.83
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D3  ",37,0,149,186,46.97
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D4  ",76,0,191,267,49.91
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D5  ",99,0,261,360,41.05
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D6  ",74,0,238,312,58.87
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D7  ",58,0,127,185,50.41
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D8  ",84,0,227,311,51.49
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D9  ",43,0,146,189,52.79
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D10  ",112,0,340,452,59.55
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D11  ",98,0,216,314,52.60
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D12  ",69,0,198,267,62.38
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D13  ",90,0,296,386,58.66
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D14  ",101,0,251,352,54.15
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D15  ",121,0,362,483,51.60
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D16  ",174,0,297,471,41.98
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D17  ",44,0,147,191,58.95
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D18  ",121,0,327,448,57.29
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D19  ",140,0,452,592,61.16
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D20  ",67,0,138,205,39.27
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D21  ",79,0,121,200,36.83
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"New Windsor - D22  ",50,0,76,126,45.99
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D1  ",55,0,159,214,52.71
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D2  ",59,0,155,214,51.20
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D3  ",86,0,231,317,52.92
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D4  ",92,0,312,404,54.82
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D5  ",84,0,206,290,47.15
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D6  ",43,0,184,227,61.85
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D7  ",48,0,124,172,42.68
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D8  ",77,0,182,259,42.25
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D9  ",77,0,258,335,58.06
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D10  ",65,0,173,238,54.97
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D11  ",80,0,200,280,47.46
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D12  ",65,0,213,278,46.96
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D13  ",101,0,275,376,54.26
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D14  ",111,0,188,299,45.51
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D15  ",123,0,308,431,53.67
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D16  ",75,0,180,255,42.08
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D17  ",80,0,260,340,43.37
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D18  ",65,0,228,293,40.81
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D19  ",92,0,251,343,43.42
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D20  ",44,0,113,157,53.77
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D21  ",78,0,209,287,37.76
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D22  ",64,0,201,265,51.86
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D23  ",149,0,477,626,69.02
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D24  ",69,0,202,271,45.70
Presidential Electors for President and Vice President,Joseph R. Biden,DEM,"Newburgh Town - D25  ",115,0,343,458,57.97
