,,,,,Voter Registration,% Turnout,Pete Buttigieg,,,,Amy Klobuchar,,,,Joseph R. Biden,,,,Tulsi Gabbard,,,,Bernie Sanders,,,,Michael R. Bloomberg,,,,Tom Steyer,,,,Michael Bennet,,,,Elizabeth Warren,,,,Andrew Yang,,,,Deval Patrick,,,,Blanks,,,,Voids,,,,Blanks  and  Voids Total,Total non votes,Total Votes Cast,
Brownville 3,32,0,9,41,229,17.9%,,,,0,,,,0,,,,32,,,,0,,,,5,,,,2,,,,0,,,,1,,,,0,,,,0,,,,1,,,,0,,,,0,0,0,41,
Brownville 4,35,0,7,42,148,28.4%,,,,0,,,,1,,,,38,,,,0,,,,2,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,0,0,42,
Brownville 5,59,0,16,75,253,29.6%,,,,2,,,,2,,,,61,,,,2,,,,4,,,,0,,,,0,,,,0,,,,2,,,,1,,,,0,,,,1,,,,0,1,1,74,
Cape Vincent 1,37,0,14,51,168,30.4%,,,,0,,,,0,,,,34,,,,1,,,,12,,,,0,,,,1,,,,0,,,,2,,,,0,,,,0,,,,0,,,,1,1,1,50,
Cape Vincent 2,55,0,17,72,360,20.0%,,,,3,,,,1,,,,51,,,,1,,,,12,,,,0,,,,0,,,,0,,,,1,,,,1,,,,0,,,,2,,,,0,2,2,70,
Champion 1,53,0,13,66,316,20.9%,,,,2,,,,1,,,,50,,,,1,,,,9,,,,1,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,1,1,65,
Champion 2,41,0,10,51,232,22.0%,,,,3,,,,0,,,,37,,,,0,,,,6,,,,2,,,,0,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,0,0,51,
Clayton 1,20,0,6,26,164,15.9%,,,,0,,,,0,,,,21,,,,1,,,,4,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,26,
Clayton 2,80,0,29,109,338,32.2%,,,,2,,,,2,,,,81,,,,0,,,,16,,,,3,,,,0,,,,0,,,,4,,,,0,,,,0,,,,0,,,,1,1,1,108,
Clayton 3,78,0,21,99,330,30.0%,,,,2,,,,2,,,,70,,,,0,,,,16,,,,0,,,,0,,,,0,,,,5,,,,0,,,,1,,,,1,,,,2,3,3,96,
Ellisburg 1,8,1,1,10,46,21.7%,,,,2,,,,0,,,,4,,,,0,,,,4,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,10,
Elllisburg 2,24,0,8,32,153,20.9%,,,,1,,,,0,,,,23,,,,0,,,,5,,,,0,,,,0,,,,1,,,,1,,,,0,,,,0,,,,1,,,,0,1,1,31,
Ellisburg 3,5,0,1,6,30,20.0%,,,,0,,,,0,,,,3,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,6,
Ellisburg 4,53,1,3,57,218,26.1%,,,,1,,,,1,,,,47,,,,0,,,,7,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,,,,0,0,0,57,
Henderson 1,57,0,13,70,249,28.1%,,,,2,,,,1,,,,52,,,,1,,,,11,,,,1,,,,0,,,,0,,,,1,,,,0,,,,0,,,,1,,,,0,1,1,69,
Hounsfield 1,71,0,35,106,320,33.1%,,,,4,,,,0,,,,82,,,,0,,,,11,,,,0,,,,0,,,,0,,,,6,,,,1,,,,0,,,,1,,,,1,2,2,104,
Hounsfield 2,71,2,9,82,361,22.7%,,,,1,,,,0,,,,66,,,,0,,,,9,,,,0,,,,0,,,,0,,,,3,,,,0,,,,1,,,,1,,,,1,2,2,80,
LeRay 1,12,0,5,17,82,20.7%,,,,1,,,,0,,,,13,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,17,
LeRay 2,2,0,4,6,42,14.3%,,,,0,,,,0,,,,5,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,6,
LeRay 3,7,0,8,15,87,17.2%,,,,2,,,,0,,,,10,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,15,
LeRay 4,71,0,19,90,393,22.9%,,,,1,,,,0,,,,67,,,,0,,,,18,,,,0,,,,2,,,,0,,,,2,,,,0,,,,0,,,,0,,,,0,0,0,90,
LeRay 5,24,0,12,36,106,34.0%,,,,0,,,,2,,,,30,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,1,1,35,
LeRay 6,3,0,4,7,92,7.6%,,,,0,,,,0,,,,6,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,7,
LeRay 7,1,0,6,7,79,8.9%,,,,0,,,,0,,,,6,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,7,
LeRay 8,35,0,16,51,359,14.2%,,,,2,,,,0,,,,38,,,,1,,,,7,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,2,2,49,
Lorraine 1,19,0,4,23,134,17.2%,,,,1,,,,0,,,,16,,,,0,,,,4,,,,0,,,,1,,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,23,
Lyme 1,32,0,5,37,142,26.1%,,,,1,,,,0,,,,32,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,1,1,36,
Lyme 2,34,0,14,48,194,24.7%,,,,0,,,,1,,,,39,,,,0,,,,5,,,,1,,,,0,,,,0,,,,2,,,,0,,,,0,,,,0,,,,0,0,0,48,
Lyme 3,26,0,4,30,115,26.1%,,,,0,,,,0,,,,26,,,,0,,,,3,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,0,0,30,
Orleans 1,33,0,17,50,248,20.2%,,,,1,,,,0,,,,35,,,,1,,,,7,,,,2,,,,0,,,,0,,,,2,,,,0,,,,1,,,,1,,,,0,1,1,49,
Orleans 2,27,0,13,40,159,25.2%,,,,2,,,,1,,,,31,,,,0,,,,4,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,,,,1,1,1,39,
Pamelia 1,23,0,13,36,201,17.9%,,,,0,,,,0,,,,25,,,,0,,,,8,,,,0,,,,1,,,,0,,,,0,,,,1,,,,0,,,,1,,,,0,1,1,35,
Pamelia 2,48,0,16,64,252,25.4%,,,,4,,,,1,,,,48,,,,0,,,,9,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,,,,1,,,,0,1,1,63,
Philadelphia 1,28,1,9,38,145,26.2%,,,,0,,,,0,,,,24,,,,0,,,,9,,,,1,,,,0,,,,0,,,,1,,,,0,,,,2,,,,0,,,,1,1,1,37,
Philadelphia 2,13,0,8,21,101,20.8%,,,,1,,,,1,,,,15,,,,0,,,,4,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,21,
Rodman 1,32,0,11,43,183,23.5%,,,,1,,,,0,,,,34,,,,2,,,,4,,,,0,,,,0,,,,0,,,,1,,,,1,,,,0,,,,0,,,,0,0,0,43,
Rutland 1,19,0,9,28,147,19.0%,,,,0,,,,0,,,,21,,,,0,,,,4,,,,0,,,,0,,,,0,,,,1,,,,1,,,,0,,,,1,,,,0,1,1,27,
Rutland 2,9,0,12,21,147,14.3%,,,,1,,,,0,,,,16,,,,0,,,,1,,,,0,,,,1,,,,0,,,,0,,,,2,,,,0,,,,0,,,,0,0,0,21,
Rutland 3,13,0,3,16,65,24.6%,,,,0,,,,0,,,,13,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,16,
Theresa 1,60,0,15,75,391,19.2%,,,,3,,,,0,,,,54,,,,0,,,,13,,,,1,,,,0,,,,0,,,,2,,,,0,,,,0,,,,1,,,,1,2,2,73,
Watertown 1,86,0,18,104,482,21.6%,,,,7,,,,1,,,,77,,,,0,,,,13,,,,0,,,,0,,,,0,,,,3,,,,1,,,,0,,,,1,,,,1,2,2,102,
Watertown 2,65,0,14,79,359,22.0%,,,,1,,,,1,,,,59,,,,0,,,,12,,,,1,,,,0,,,,0,,,,4,,,,1,,,,0,,,,0,,,,0,0,0,79,
Wilna 1,62,0,13,75,415,18.1%,,,,3,,,,0,,,,56,,,,1,,,,7,,,,2,,,,0,,,,0,,,,2,,,,0,,,,0,,,,2,,,,2,4,4,71,
Wilna 2,6,0,1,7,20,35.0%,,,,0,,,,0,,,,5,,,,0,,,,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,7,
Wilna 3,1,0,5,6,34,17.6%,,,,1,,,,0,,,,4,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,6,
Wilna 4,16,0,2,18,77,23.4%,,,,0,,,,0,,,,12,,,,0,,,,3,,,,0,,,,1,,,,0,,,,1,,,,0,,,,0,,,,1,,,,0,1,1,17,
Wilna 5,25,0,14,39,204,19.1%,,,,0,,,,2,,,,29,,,,0,,,,3,,,,0,,,,2,,,,1,,,,1,,,,0,,,,0,,,,1,,,,0,1,1,38,
Worth 1,6,0,4,10,48,20.8%,,,,1,,,,0,,,,8,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,1,1,9,
COUNTY TOTALS,2606,6,922,3534,15462,22.9%,0,0,0,89,0,0,0,32,0,0,0,2642,0,0,0,18,0,0,0,529,0,0,0,27,0,0,0,15,0,0,0,5,0,0,0,87,0,0,0,24,0,0,0,12,0,0,0,32,0,0,0,22,54,54,3480,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,, ,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
Pete Buttigieg,89,2.6%,2.5%,, , ,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Amy Klobuchar,32,0.9%,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Biden,"2,642",75.9%,74.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsi Gabbard,18,0.5%,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,529,15.2%,15.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael R. Bloomberg,27,0.8%,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Steyer,15,0.4%,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Bennet,5,0.1%,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Warren,87,2.5%,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Yang,24,0.7%,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deval Patrick,12,0.3%,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanks,32,,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voids,22,,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (minus blanks & voids),"3,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (including blanks & voids),"3,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
